Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,quarantine_reason
INC-8840,Theft,,Contents,,,,2023-04-21 23:00:00,4831.96,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-8860,Theft,,Vehicle,NISSAN,NP200 1.6  P/U S/C-2008-,2019.0,2023-04-19 18:19:00,140175.99,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8868,Theft,,Vehicle,BMW,750i M SPORT (G11)-2016-2020,2017.0,2023-04-19 05:17:00,112379.19,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8869,Theft,,Contents,,,,2023-04-19 05:17:00,70974.46,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-8896,Theft,,Contents,,,,2023-04-16 04:00:00,52332.48,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-8923,Theft,,Contents,,,,2023-04-14 00:00:00,38596.0,Home contents - Theft,Theft,,,True,False,missing_suburb
INC-8928,Theft,,Vehicle,FORD,FIESTA 1.4i TREND 5Dr-2008-2013,2013.0,2023-04-13 12:28:00,114085.44,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8960,Theft,,Vehicle,VOLKSWAGEN,GOLF VII 1.0 TSI COMFORTLINE-2017-2022,2020.0,2023-04-09 12:00:00,1058.58,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8962,Theft,,Vehicle,TOYOTA,HILUX 2.8 GD-6 RB LEGEND 4X4 A/T P/U D/C-2020-,2022.0,2023-04-09 05:39:00,868383.44,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8965,Theft,,Contents,,,,2023-04-09 00:00:00,39339.98,Home contents - Theft,Theft,,,True,False,missing_suburb
INC-8968,Theft,,Contents,,,,2023-04-08 21:59:00,28166.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-8969,Theft,,Vehicle,TOYOTA,COROLLA QUEST 1.6-2014-2020,2015.0,2023-04-08 21:59:00,70235.28,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8975,Theft,,Vehicle,VOLKSWAGEN,POLO 1.4 TRENDLINE-2005-2010,2008.0,2023-04-08 09:30:00,64249.57,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-8988,Theft,,Vehicle,FORD,RANGER 2.2TDCi XL PLUS 4X4 P/U C/C-2014-2015,2015.0,2023-04-07 00:00:00,1366.02,Motor Vehicle - Theft,Theft,,,True,False,missing_suburb
INC-9045,Hijack,,Vehicle,VOLKSWAGEN,TIGUAN 2.0 TDi TRK-FLD 4/MOT DSG-2011-2016,2013.0,2023-04-01 18:40:00,238693.99,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-9059,Theft,,Vehicle,TOYOTA,PRADO VX 3.0D A/T-2017-2020,2020.0,2023-03-31 09:00:00,4633.9,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9066,Theft,,Vehicle,MERCEDES-BENZ,GLE 400d 4MATIC-2019-,2021.0,2023-03-30 11:00:00,1256.5,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9110,Attempted Hijack,,Vehicle,MINI,COOPER A/T-2010-2014,2014.0,2023-03-25 23:33:00,100523.19,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
INC-9162,Hijack,,Vehicle,HYUNDAI,GETZ 1.3 A/C-2003-2006,2004.0,2023-03-19 04:30:00,21171.7,Motor Vehicle - Theft,Hijack,,,True,True,missing_suburb
