Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-9907,Theft,SUNNYSIDE,Vehicle,TOYOTA,FORTUNER 2.4GD-6 R/B A/T-2016-2020,2017.0,2023-01-05 05:54:00,146711.17,Motor Vehicle - Theft,Theft,SUNNYSIDE,SUNNYSIDE,True,True
INC-9908,Theft,PARKMORE,Contents,,,,2023-01-04 16:22:00,103462.83,Home contents - Theft,Theft,PARKMORE,PARKMORE,True,True
INC-9909,Theft,MALVERN,Vehicle,VOLKSWAGEN,GOLF VII GTi 2.0 TSI DSG CLUBSPORT-2016-2017,2017.0,2023-01-04 14:31:00,74122.57,Motor Vehicle - Theft,Theft,MALVERN,MALVERN,True,True
INC-9910,Theft,VANDERBIJLPARK S. E. 2,Contents,,,,2023-01-04 14:29:00,101023.78,Home contents - Theft,Theft,VANDERBIJLPARK S. E. 2,VANDERBIJLPARK S. E. 2,True,True
INC-9911,Theft,LYME PARK,Contents,,,,2023-01-04 10:49:00,172032.0,Home contents - Theft,Theft,LYME PARK,LYME PARK,True,True
INC-9912,Theft,ZOO PARK,Contents,,,,2023-01-04 02:00:00,38156.6,Home contents - Theft,Theft,ZOO PARK,ZOO PARK,True,True
INC-9913,Theft,LYTTELTON MANOR,Contents,,,,2023-01-04 00:00:00,34516.0,Home contents - Theft,Theft,LYTTELTON MANOR,LYTTELTON MANOR,True,False
INC-9914,Theft,JAN CILLIERS PARK,Contents,,,,2023-01-03 22:00:00,37015.0,Home contents - Theft,Theft,JAN CILLIERS PARK,JAN CILLIERS PARK,True,True
INC-9915,Theft,BROADACRES PARK,Contents,,,,2023-01-03 15:30:00,923.4,Home contents - Theft,Theft,BROADACRES PARK,BROADACRES PARK,True,True
INC-9916,Theft,BROADACRES PARK,Vehicle,HYUNDAI,GRAND i10 1.25 MOTION-2014-2018,2015.0,2023-01-03 15:30:00,4824.25,Motor Vehicle - Theft,Theft,BROADACRES PARK,BROADACRES PARK,True,True
INC-9917,Theft,PARKTOWN,Contents,,,,2023-01-03 15:00:00,24998.0,Home contents - Theft,Theft,PARKTOWN,PARKTOWN,True,True
INC-9918,Theft,SHERWOOD,Contents,,,,2023-01-03 14:00:00,36938.8,Home contents - Theft,Theft,SHERWOOD,SHERWOOD,True,True
INC-9919,Theft,EDLEEN,Vehicle,FORD,RANGER 2.2TDCi XL A/T P/U SUP/CAB-2019-,2022.0,2023-01-03 12:57:14,2714.05,Motor Vehicle - Theft,Theft,EDLEEN,EDLEEN,True,True
INC-9920,Theft,PALM BEACH,Vehicle,VOLKSWAGEN,TIGUAN 2.0 TDi B/MOT TREND-FUN-2011-2017,2014.0,2023-01-03 12:00:00,2500.0,Motor Vehicle - Theft,Theft,PALM BEACH,PALM BEACH,True,True
INC-9921,Theft,JOHANNESBURG,Contents,,,,2023-01-03 08:25:35,20354.0,Home contents - Theft,Theft,JOHANNESBURG,JOHANNESBURG,True,True
INC-9922,Theft,PARKDENE,Vehicle,MERCEDES-BENZ,X350d 4MATIC POWER-2018-2022,2019.0,2023-01-03 07:00:00,2973.25,Motor Vehicle - Theft,Theft,PARKDENE,PARKDENE,True,True
INC-9924,Theft,DE BRON,Contents,,,,2023-01-03 04:29:56,35316.5,Home contents - Theft,Theft,DE BRON,DE BRON,True,True
INC-9925,Theft,PRIMROSE,Contents,,,,2023-01-03 03:00:00,24571.25,Home contents - Theft,Theft,PRIMROSE,PRIMROSE,True,True
INC-9926,Theft,NAHOON VALLEY PARK,Contents,,,,2023-01-03 02:30:11,3050.0,Home contents - Theft,Theft,NAHOON VALLEY PARK,NAHOON VALLEY PARK,True,True
INC-9927,Theft,ALLEN'S NEK,Contents,,,,2023-01-03 02:00:00,13166.0,Home contents - Theft,Theft,ALLEN'S NEK,ALLEN'S NEK,True,True
INC-9928,Theft,HENLEY ON KLIP,Contents,,,,2023-01-03 02:00:00,7999.0,Home contents - Theft,Theft,HENLEY ON KLIP,HENLEY ON KLIP,True,True
INC-9929,Theft,EAST LONDON,Contents,,,,2023-01-03 00:00:00,8750.0,Home contents - Theft,Theft,EAST LONDON,EAST LONDON,True,False
INC-9930,Theft,EDENVALE,Contents,,,,2023-01-03 00:00:00,154344.94,Home contents - Theft,Theft,EDENVALE,EDENVALE,True,False
INC-9931,Theft,WITPOORTJIE,Contents,,,,2023-01-02 23:08:00,127574.89,Home contents - Theft,Theft,WITPOORTJIE,WITPOORTJIE,True,True
INC-9932,Hijack,KEW,Vehicle,LAND ROVER,FREELANDER II 2.2 TD4 SE A/T-2007-2010,2010.0,2023-01-02 21:15:00,106775.79,Motor Vehicle - Theft,Hijack,KEW,KEW,True,True
INC-9933,Theft,RONDEBOSCH,Contents,,,,2023-01-02 20:20:38,15065.9,Home contents - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True
INC-9934,Theft,ERASMUS PARK,Contents,,,,2023-01-02 20:00:00,28534.0,Home contents - Theft,Theft,ERASMUS PARK,ERASMUS PARK,True,True
INC-9935,Theft,MELKBOSSTRAND,Vehicle,TOYOTA,HILUX 3.0 D-4D LEGEND 45 4X4 P/U D/C-2014-2016,2015.0,2023-01-02 16:00:00,10567.04,Motor Vehicle - Theft,Theft,MELKBOSSTRAND,MELKBOSSTRAND,True,True
INC-9936,Theft,SUNRISE-ON-SEA,Contents,,,,2023-01-02 13:56:00,32293.0,Home contents - Theft,Theft,SUNRISE-ON-SEA,SUNRISE-ON-SEA,True,True
INC-9937,Theft,ORANGE GROVE,Vehicle,VOLKSWAGEN,TAKE UP! 1.0 5DR-2016-2021,2018.0,2023-01-02 13:30:00,2631.0,Motor Vehicle - Theft,Theft,ORANGE GROVE,ORANGE GROVE,True,True
INC-9939,Theft,CONSTANTIA,Contents,,,,2023-01-02 11:00:21,119340.8,Home contents - Theft,Theft,CONSTANTIA,CONSTANTIA,True,True
INC-9940,Hijack,CERES,Vehicle,MERCEDES-BENZ,C220 CDi BE AVANTGARDE A/T-2010-2011,2011.0,2023-01-02 09:15:00,26302.22,Motor Vehicle - Theft,Hijack,CERES,CERES,True,True
INC-9941,Theft,MOOINOOI,Contents,,,,2023-01-02 09:00:00,10000.0,Home contents - Theft,Theft,MOOINOOI,MOOINOOI,True,True
INC-9942,Theft,DENEYSVILLE,Contents,,,,2023-01-02 08:00:00,27549.0,Home contents - Theft,Theft,DENEYSVILLE,DENEYSVILLE,True,True
INC-9943,Theft,SYDENHAM,Contents,,,,2023-01-02 05:29:00,23758.0,Home contents - Theft,Theft,SYDENHAM,SYDENHAM,True,True
INC-9944,Theft,PEACEVALE,Contents,,,,2023-01-02 01:00:00,6199.95,Home contents - Theft,Theft,PEACEVALE,PEACEVALE,True,True
INC-9945,Theft,MILNERTON,Contents,,,,2023-01-01 23:30:00,616666.33,Home contents - Theft,Theft,MILNERTON,MILNERTON,True,True
