Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-1812,Theft,WATERKLOOF RIDGE,Contents,,,,2025-08-10 00:00:00,27599.5,Home contents - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,False,Gauteng
INC-1850,Theft,BEDFORDVIEW,Contents,,,,2025-08-05 12:00:00,149447.86,Home contents - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,True,Gauteng
INC-1883,Theft,CLAREMONT,Vehicle,RENAULT,KWID 1.0 DYNAMIQUE / ZEN / TECHNO 5DR-2019-,2021.0,2025-07-30 12:40:00,6054.46,Motor Vehicle - Theft,Theft,CLAREMONT,CLAREMONT,True,True,Cape Town
INC-1888,Theft,TABLE VIEW,Contents,,,,2025-07-29 03:57:00,9029.0,Home contents - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-1893,Theft,SOMERSET WEST,Contents,,,,2025-07-28 06:00:00,15747.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-1898,Theft,BEDFORDVIEW,Contents,,,,2025-07-26 15:30:00,4031.68,Home contents - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,True,Gauteng
INC-1945,Theft,SEA POINT,Vehicle,HYUNDAI,ELANTRA 1.8 GLS/EXECUTIVE A/T-2011-2014,2012.0,2025-07-18 10:00:00,22370.3,Motor Vehicle - Theft,Theft,SEA POINT,SEA POINT,True,True,Cape Town
INC-1957,Theft,GARSFONTEIN,Vehicle,FORD,RANGER RAPTOR 2.0D BI-TURBO 4X4 A/T P/U D/C-2019-,2022.0,2025-07-16 19:02:00,12401.21,Motor Vehicle - Theft,Theft,GARSFONTEIN,GARSFONTEIN,True,True,Gauteng
INC-1966,Theft,CAPE TOWN CITY CENTRE,Contents,,,,2025-07-14 09:00:00,26999.0,Home contents - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-1981,Theft,BEDFORDVIEW,Vehicle,TOYOTA,HILUX 3.0 D-4D LEGEND 45 4X4 A/T P/U D/C-2014-2016,2015.0,2025-07-11 15:50:00,467958.01,Motor Vehicle - Theft,Theft,BEDFORDVIEW,BEDFORDVIEW,True,True,Gauteng
INC-2009,Theft,MENLO PARK,Contents,,,,2025-07-06 11:30:00,17081.0,Home contents - Theft,Theft,MENLO PARK,MENLO PARK,True,True,Gauteng
INC-2021,Theft,CAPE TOWN CITY CENTRE,Vehicle,AUDI,A1 1.4T FSi  ATTRACTION 3Dr-2011-2015,2011.0,2025-07-04 01:45:11,7348.5,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2027,Theft,SOMERSET WEST,Vehicle,TOYOTA,AYGO 1.0 WILD 5DR-2011-2015,2013.0,2025-07-02 11:36:03,4830.0,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2048,Theft,RONDEBOSCH,Vehicle,VOLKSWAGEN,POLO 1.4 TRENDLINE-2005-2010,2006.0,2025-06-28 13:49:00,59188.43,Motor Vehicle - Theft,Theft,RONDEBOSCH,RONDEBOSCH,True,True,Cape Town
INC-2051,Theft,MENLO PARK,Contents,,,,2025-06-27 22:38:58,25498.0,Home contents - Theft,Theft,MENLO PARK,MENLO PARK,True,True,Gauteng
INC-2080,Armed Robbery,CLAREMONT,Contents,,,,2025-06-21 23:15:00,975.0,,Armed Robbery,CLAREMONT,CLAREMONT,True,True,Cape Town
INC-2111,Theft,GARSFONTEIN,Contents,,,,2025-06-16 13:00:55,155473.0,Home contents - Theft,Theft,GARSFONTEIN,GARSFONTEIN,True,True,Gauteng
INC-2115,Theft,CAPE TOWN CITY CENTRE,Vehicle,CHERY,TIGGO 8 PRO 1.6 TDGI DISTINCTION DCT-2022-,2022.0,2025-06-14 23:11:00,5942.3,Motor Vehicle - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2127,Theft,TABLE VIEW,Vehicle,LAND ROVER,DISCOVERY SPORT 2.2 SD4 HSE LUX-2015-2018,2017.0,2025-06-12 22:30:00,5462.15,Motor Vehicle - Theft,Theft,TABLE VIEW,TABLE VIEW,True,True,Cape Town
INC-2128,Attempted Theft,CAPE TOWN CITY CENTRE,Contents,,,,2025-06-12 16:25:00,42386.29,Home contents - Theft,Theft,CAPE TOWN CITY CENTRE,CAPE TOWN CITY CENTRE,True,True,Cape Town
INC-2181,Theft,SOMERSET WEST,Contents,,,,2025-06-01 18:00:00,61999.43,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2184,Theft,SOMERSET WEST,Contents,,,,2025-06-01 04:00:00,42809.54,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2199,Theft,SOMERSET WEST,Contents,,,,2025-05-30 16:12:00,96253.0,Home contents - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
INC-2200,Theft,NEWLANDS,Contents,,,,2025-05-30 13:00:00,59856.61,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,True,Cape Town
INC-2204,Theft,CENTURION CENTRAL,Contents,,,,2025-05-29 19:30:00,28249.0,Home contents - Theft,Theft,CENTURION CENTRAL,CENTURION CENTRAL,True,True,Gauteng
INC-2240,Theft,GARSFONTEIN,Vehicle,TOYOTA,COROLLA CROSS 1.8 XS-2021-,2024.0,2025-05-23 15:39:00,397300.0,Motor Vehicle - Theft,Theft,GARSFONTEIN,GARSFONTEIN,True,True,Gauteng
INC-2245,Theft,BRYANSTON,Vehicle,VOLKSWAGEN,GOLF VII GTi 2.0 TSI DSG-2017-2022,2019.0,2025-05-23 12:30:11,7518.5,Motor Vehicle - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
