feature,coefficient,absolute_importance,effect
categorical__SUBURB_ESSENWOOD,0.6505179765266516,0.6505179765266516,increases high-value likelihood
categorical__SUBURB_BLAIRGOWRIE,0.648275581321244,0.648275581321244,increases high-value likelihood
categorical__PERIL_Burglary,0.647637300466948,0.647637300466948,increases high-value likelihood
categorical__SUBURB_LYTTELTON MANOR,0.6445134340167199,0.6445134340167199,increases high-value likelihood
categorical__SUBURB_NORTH BEACH,0.6415383684083797,0.6415383684083797,increases high-value likelihood
categorical__SUBURB_LYNNWOOD GLEN,0.6301260679777149,0.6301260679777149,increases high-value likelihood
categorical__SUBURB_FOCHVILLE,0.6295057409119951,0.6295057409119951,increases high-value likelihood
categorical__SUBURB_LYDENBURG,0.6227896205801404,0.6227896205801404,increases high-value likelihood
categorical__SUBURB_BEDFORDVIEW,0.6226734620960528,0.6226734620960528,increases high-value likelihood
categorical__VEHICLE_MAKE_MITSUBISHI,-0.6150973783208317,0.6150973783208317,decreases high-value likelihood
categorical__SUBURB_GLEN AUSTIN AH,0.608451555807992,0.608451555807992,increases high-value likelihood
categorical__SUBURB_UMBILO,-0.6069689866894069,0.6069689866894069,decreases high-value likelihood
categorical__SUBURB_WALMER,-0.6060706232743653,0.6060706232743653,decreases high-value likelihood
categorical__SUBURB_LENASIA,-0.6008261415039036,0.6008261415039036,decreases high-value likelihood
categorical__SUBURB_GROENKLOOF,0.5977330477063195,0.5977330477063195,increases high-value likelihood
categorical__SUBURB_HERMANUS,-0.5960769816652712,0.5960769816652712,decreases high-value likelihood
categorical__SUBURB_MEYERSPARK,0.5933335125074817,0.5933335125074817,increases high-value likelihood
categorical__SUBURB_TABLE VIEW,-0.5854379289710561,0.5854379289710561,decreases high-value likelihood
categorical__VEHICLE_MAKE_NISSAN,0.5820865333322432,0.5820865333322432,increases high-value likelihood
categorical__SUBURB_UMHLANGA ROCKS,0.5747772871588912,0.5747772871588912,increases high-value likelihood
categorical__SUBURB_BEACON BAY NORTH,0.5716930592575968,0.5716930592575968,increases high-value likelihood
categorical__VEHICLE_MAKE_SUZUKI,-0.565548377302421,0.565548377302421,decreases high-value likelihood
categorical__SUBURB_FAIRLAND,0.5627133238863151,0.5627133238863151,increases high-value likelihood
categorical__SUBURB_UMHLANGA,-0.5626638721090548,0.5626638721090548,decreases high-value likelihood
categorical__SUBURB_FONTAINEBLEAU,-0.554364568661884,0.554364568661884,decreases high-value likelihood
categorical__SUBURB_NOORDWYK,-0.5527980826144939,0.5527980826144939,decreases high-value likelihood
categorical__SUBURB_MIDSTREAM ESTATE,0.5514683827513375,0.5514683827513375,increases high-value likelihood
categorical__SUBURB_QUEENSWOOD,0.5464345567844422,0.5464345567844422,increases high-value likelihood
categorical__SUBURB_EERSTERUST,-0.5417071538874605,0.5417071538874605,decreases high-value likelihood
categorical__SUBURB_WELTEVREDENPARK,0.5335866813046487,0.5335866813046487,increases high-value likelihood
categorical__VEHICLE_MAKE_MINI,-0.5334577151243983,0.5334577151243983,decreases high-value likelihood
categorical__SUBURB_HELDERKRUIN,0.5331952004463945,0.5331952004463945,increases high-value likelihood
categorical__SUBURB_MORELETAPARK,-0.5293711691905173,0.5293711691905173,decreases high-value likelihood
categorical__VEHICLE_MAKE_HAVAL,-0.5259385558671356,0.5259385558671356,decreases high-value likelihood
categorical__SUBURB_WOODHURST,-0.5256711225384952,0.5256711225384952,decreases high-value likelihood
categorical__SUBURB_NORTHWOLD,0.518945866430294,0.518945866430294,increases high-value likelihood
categorical__SUBURB_MENLO PARK,0.5126227528952267,0.5126227528952267,increases high-value likelihood
categorical__SUBURB_PLUMSTEAD,-0.5026316325495173,0.5026316325495173,decreases high-value likelihood
categorical__SUBURB_KELVIN,-0.5009424845646884,0.5009424845646884,decreases high-value likelihood
categorical__SUBURB_RUIMSIG,0.4967592315300763,0.4967592315300763,increases high-value likelihood
categorical__SUBURB_CRAIGHALL PARK,0.49331840745896866,0.49331840745896866,increases high-value likelihood
categorical__SUBURB_BENDOR PARK,0.49279348090738584,0.49279348090738584,increases high-value likelihood
categorical__SUBURB_FARRARMERE,0.48814336896868155,0.48814336896868155,increases high-value likelihood
categorical__SUBURB_CRAIGHALL,0.47518862468134165,0.47518862468134165,increases high-value likelihood
categorical__SUBURB_WINGATE PARK,-0.4748806475762439,0.4748806475762439,decreases high-value likelihood
categorical__SUBURB_PARKLANDS,-0.4741057033864624,0.4741057033864624,decreases high-value likelihood
categorical__SUBURB_CAMPS BAY,-0.47352528221742346,0.47352528221742346,decreases high-value likelihood
categorical__SUBURB_CENTURION CENTRAL,-0.4707038312797052,0.4707038312797052,decreases high-value likelihood
categorical__SUBURB_HEIDELBERG,0.4638274781605988,0.4638274781605988,increases high-value likelihood
categorical__SUBURB_GARDENS,-0.46272670927559273,0.46272670927559273,decreases high-value likelihood
categorical__SUBURB_PROTEA HEIGHTS,-0.4613658329814074,0.4613658329814074,decreases high-value likelihood
categorical__SUBURB_GARSFONTEIN,0.45791161640396283,0.45791161640396283,increases high-value likelihood
categorical__SUBURB_BALLITO,0.45559566658078565,0.45559566658078565,increases high-value likelihood
categorical__SUBURB_RANDPARK,-0.4480141780220606,0.4480141780220606,decreases high-value likelihood
categorical__SUBURB_ROODEPOORT,0.4467060598081091,0.4467060598081091,increases high-value likelihood
categorical__SUBURB_WESTCLIFF,0.43804166508175774,0.43804166508175774,increases high-value likelihood
categorical__SUBURB_BENONI,-0.43782886462365217,0.43782886462365217,decreases high-value likelihood
categorical__SUBURB_BUCCLEUCH,0.43352410557009763,0.43352410557009763,increases high-value likelihood
categorical__SUBURB_HOUGHTON ESTATE,0.43223543999538117,0.43223543999538117,increases high-value likelihood
categorical__SUBURB_SOUTH BEACH,0.4255402183175219,0.4255402183175219,increases high-value likelihood
categorical__PERIL_Attempted Theft,-0.42123106956210843,0.42123106956210843,decreases high-value likelihood
categorical__SUBURB_MULBARTON,0.42017530390674346,0.42017530390674346,increases high-value likelihood
categorical__SUBURB_STELLENBOSCH NU,-0.4169723554151383,0.4169723554151383,decreases high-value likelihood
numeric__VEHICLE_YEAR,0.4157448241757586,0.4157448241757586,increases high-value likelihood
categorical__SUBURB_HEUWELOORD,-0.41442239811347975,0.41442239811347975,decreases high-value likelihood
categorical__SUBURB_DOORNPOORT,0.4143701291800311,0.4143701291800311,increases high-value likelihood
categorical__SUBURB_LINDHAVEN,-0.4118783199825308,0.4118783199825308,decreases high-value likelihood
categorical__SUBURB_HATFIELD,0.4113238292568583,0.4113238292568583,increases high-value likelihood
categorical__SUBURB_MENLYN,-0.40289232025190314,0.40289232025190314,decreases high-value likelihood
categorical__SUBURB_GLENWOOD,0.40189307963101506,0.40189307963101506,increases high-value likelihood
categorical__SUBURB_PRIMROSE,0.3982528211883028,0.3982528211883028,increases high-value likelihood
categorical__SUBURB_KYALAMI AH,-0.39769716325274723,0.39769716325274723,decreases high-value likelihood
