Police Station,Province,Crime,Year,Incidents
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2005-2006,6692
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2006-2007,6341
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2007-2008,5966
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2008-2009,5187
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2009-2010,4985
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2010-2011,5127
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2011-2012,5285
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2012-2013,5937
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2013-2014,5600
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2014-2015,5335
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2015-2016,5176
Cape Town Central,Western Cape,All theft not mentioned elsewhere,2016-2017,5496
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2005-2006,5341
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2006-2007,6093
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2007-2008,6316
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2008-2009,6803
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2009-2010,6035
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2010-2011,5761
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2011-2012,6108
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2012-2013,5514
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2013-2014,4975
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2014-2015,4043
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2015-2016,3635
Mitchells Plain,Western Cape,All theft not mentioned elsewhere,2016-2017,3322
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2005-2006,5099
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2006-2007,4536
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2007-2008,3309
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2008-2009,2694
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2009-2010,2616
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2010-2011,2606
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2011-2012,2635
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2012-2013,3226
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2013-2014,3246
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2014-2015,2892
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2015-2016,3030
Pretoria Central,Gauteng,All theft not mentioned elsewhere,2016-2017,2956
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2005-2006,4162
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2006-2007,4529
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2007-2008,3499
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2008-2009,3353
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2009-2010,3183
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2010-2011,2933
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2011-2012,3219
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2012-2013,3418
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2013-2014,3390
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2014-2015,2872
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2015-2016,2865
Durban Central,Kwazulu/Natal,All theft not mentioned elsewhere,2016-2017,2776
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2005-2006,1864
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2006-2007,2077
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2007-2008,1805
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2008-2009,1996
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2009-2010,1743
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2010-2011,1949
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2011-2012,1906
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2012-2013,1909
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2013-2014,2143
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2014-2015,2093
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2015-2016,2379
Stellenbosch,Western Cape,All theft not mentioned elsewhere,2016-2017,2426
Sandton,Gauteng,All theft not mentioned elsewhere,2005-2006,3030
Sandton,Gauteng,All theft not mentioned elsewhere,2006-2007,3037
Sandton,Gauteng,All theft not mentioned elsewhere,2007-2008,2556
Sandton,Gauteng,All theft not mentioned elsewhere,2008-2009,2383
Sandton,Gauteng,All theft not mentioned elsewhere,2009-2010,2431
Sandton,Gauteng,All theft not mentioned elsewhere,2010-2011,2601
Sandton,Gauteng,All theft not mentioned elsewhere,2011-2012,2446
Sandton,Gauteng,All theft not mentioned elsewhere,2012-2013,2310
Sandton,Gauteng,All theft not mentioned elsewhere,2013-2014,2275
Sandton,Gauteng,All theft not mentioned elsewhere,2014-2015,2838
Sandton,Gauteng,All theft not mentioned elsewhere,2015-2016,2866
Sandton,Gauteng,All theft not mentioned elsewhere,2016-2017,2410
Honeydew,Gauteng,All theft not mentioned elsewhere,2005-2006,2423
Honeydew,Gauteng,All theft not mentioned elsewhere,2006-2007,2469
Honeydew,Gauteng,All theft not mentioned elsewhere,2007-2008,2610
Honeydew,Gauteng,All theft not mentioned elsewhere,2008-2009,2513
Honeydew,Gauteng,All theft not mentioned elsewhere,2009-2010,2663
Honeydew,Gauteng,All theft not mentioned elsewhere,2010-2011,2486
Honeydew,Gauteng,All theft not mentioned elsewhere,2011-2012,2544
Honeydew,Gauteng,All theft not mentioned elsewhere,2012-2013,2627
Honeydew,Gauteng,All theft not mentioned elsewhere,2013-2014,2568
Honeydew,Gauteng,All theft not mentioned elsewhere,2014-2015,2401
Honeydew,Gauteng,All theft not mentioned elsewhere,2015-2016,2346
Honeydew,Gauteng,All theft not mentioned elsewhere,2016-2017,2109
Park Road,Free State,All theft not mentioned elsewhere,2005-2006,5108
Park Road,Free State,All theft not mentioned elsewhere,2006-2007,4282
Park Road,Free State,All theft not mentioned elsewhere,2007-2008,3834
Park Road,Free State,All theft not mentioned elsewhere,2008-2009,3316
Park Road,Free State,All theft not mentioned elsewhere,2009-2010,3101
Park Road,Free State,All theft not mentioned elsewhere,2010-2011,3013
Park Road,Free State,All theft not mentioned elsewhere,2011-2012,2679
Park Road,Free State,All theft not mentioned elsewhere,2012-2013,3116
Park Road,Free State,All theft not mentioned elsewhere,2013-2014,2927
Park Road,Free State,All theft not mentioned elsewhere,2014-2015,2297
Park Road,Free State,All theft not mentioned elsewhere,2015-2016,2103
Park Road,Free State,All theft not mentioned elsewhere,2016-2017,2095
Brooklyn,Gauteng,All theft not mentioned elsewhere,2005-2006,3931
Brooklyn,Gauteng,All theft not mentioned elsewhere,2006-2007,3583
Brooklyn,Gauteng,All theft not mentioned elsewhere,2007-2008,2878
Brooklyn,Gauteng,All theft not mentioned elsewhere,2008-2009,2568
Brooklyn,Gauteng,All theft not mentioned elsewhere,2009-2010,2415
Brooklyn,Gauteng,All theft not mentioned elsewhere,2010-2011,2162
Brooklyn,Gauteng,All theft not mentioned elsewhere,2011-2012,2050
Brooklyn,Gauteng,All theft not mentioned elsewhere,2012-2013,1883
Brooklyn,Gauteng,All theft not mentioned elsewhere,2013-2014,2442
Brooklyn,Gauteng,All theft not mentioned elsewhere,2014-2015,2200
Brooklyn,Gauteng,All theft not mentioned elsewhere,2015-2016,2107
Brooklyn,Gauteng,All theft not mentioned elsewhere,2016-2017,2045
Jhb Central,Gauteng,All theft not mentioned elsewhere,2005-2006,6093
Jhb Central,Gauteng,All theft not mentioned elsewhere,2006-2007,4602
Jhb Central,Gauteng,All theft not mentioned elsewhere,2007-2008,3761
Jhb Central,Gauteng,All theft not mentioned elsewhere,2008-2009,3610
Jhb Central,Gauteng,All theft not mentioned elsewhere,2009-2010,3267
Jhb Central,Gauteng,All theft not mentioned elsewhere,2010-2011,3037
Jhb Central,Gauteng,All theft not mentioned elsewhere,2011-2012,2886
Jhb Central,Gauteng,All theft not mentioned elsewhere,2012-2013,2638
Jhb Central,Gauteng,All theft not mentioned elsewhere,2013-2014,2809
Jhb Central,Gauteng,All theft not mentioned elsewhere,2014-2015,3050
Jhb Central,Gauteng,All theft not mentioned elsewhere,2015-2016,2434
Jhb Central,Gauteng,All theft not mentioned elsewhere,2016-2017,2023
Midrand,Gauteng,All theft not mentioned elsewhere,2005-2006,1424
Midrand,Gauteng,All theft not mentioned elsewhere,2006-2007,1401
Midrand,Gauteng,All theft not mentioned elsewhere,2007-2008,1252
Midrand,Gauteng,All theft not mentioned elsewhere,2008-2009,1375
Midrand,Gauteng,All theft not mentioned elsewhere,2009-2010,1647
Midrand,Gauteng,All theft not mentioned elsewhere,2010-2011,1835
Midrand,Gauteng,All theft not mentioned elsewhere,2011-2012,2026
Midrand,Gauteng,All theft not mentioned elsewhere,2012-2013,2032
Midrand,Gauteng,All theft not mentioned elsewhere,2013-2014,1985
Midrand,Gauteng,All theft not mentioned elsewhere,2014-2015,1847
Midrand,Gauteng,All theft not mentioned elsewhere,2015-2016,1775
Midrand,Gauteng,All theft not mentioned elsewhere,2016-2017,2023
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2005-2006,1680
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2006-2007,1396
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2007-2008,1553
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2008-2009,1558
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2009-2010,1567
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2010-2011,1906
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2011-2012,2222
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2012-2013,2166
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2013-2014,2077
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2014-2015,2104
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2015-2016,1919
Phoenix,Kwazulu/Natal,All theft not mentioned elsewhere,2016-2017,2009
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2005-2006,1548
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2006-2007,1677
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2007-2008,1385
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2008-2009,1307
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2009-2010,1386
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2010-2011,1371
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2011-2012,1603
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2012-2013,1583
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2013-2014,1784
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2014-2015,1906
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2015-2016,1987
Kraaifontein,Western Cape,All theft not mentioned elsewhere,2016-2017,1951
Witbank,Mpumalanga,All theft not mentioned elsewhere,2005-2006,2437
Witbank,Mpumalanga,All theft not mentioned elsewhere,2006-2007,2388
Witbank,Mpumalanga,All theft not mentioned elsewhere,2007-2008,1920
Witbank,Mpumalanga,All theft not mentioned elsewhere,2008-2009,2072
Witbank,Mpumalanga,All theft not mentioned elsewhere,2009-2010,2425
Witbank,Mpumalanga,All theft not mentioned elsewhere,2010-2011,2463
Witbank,Mpumalanga,All theft not mentioned elsewhere,2011-2012,2251
Witbank,Mpumalanga,All theft not mentioned elsewhere,2012-2013,1862
Witbank,Mpumalanga,All theft not mentioned elsewhere,2013-2014,1943
Witbank,Mpumalanga,All theft not mentioned elsewhere,2014-2015,2060
Witbank,Mpumalanga,All theft not mentioned elsewhere,2015-2016,1951
Witbank,Mpumalanga,All theft not mentioned elsewhere,2016-2017,1903
Milnerton,Western Cape,All theft not mentioned elsewhere,2005-2006,2239
Milnerton,Western Cape,All theft not mentioned elsewhere,2006-2007,2260
Milnerton,Western Cape,All theft not mentioned elsewhere,2007-2008,2270
Milnerton,Western Cape,All theft not mentioned elsewhere,2008-2009,2329
Milnerton,Western Cape,All theft not mentioned elsewhere,2009-2010,2099
Milnerton,Western Cape,All theft not mentioned elsewhere,2010-2011,1872
Milnerton,Western Cape,All theft not mentioned elsewhere,2011-2012,1875
Milnerton,Western Cape,All theft not mentioned elsewhere,2012-2013,2127
Milnerton,Western Cape,All theft not mentioned elsewhere,2013-2014,1974
Milnerton,Western Cape,All theft not mentioned elsewhere,2014-2015,1948
Milnerton,Western Cape,All theft not mentioned elsewhere,2015-2016,2144
Milnerton,Western Cape,All theft not mentioned elsewhere,2016-2017,1860
Sunnyside,Gauteng,All theft not mentioned elsewhere,2005-2006,2967
Sunnyside,Gauteng,All theft not mentioned elsewhere,2006-2007,2659
Sunnyside,Gauteng,All theft not mentioned elsewhere,2007-2008,1866
Sunnyside,Gauteng,All theft not mentioned elsewhere,2008-2009,1881
Sunnyside,Gauteng,All theft not mentioned elsewhere,2009-2010,2044
Sunnyside,Gauteng,All theft not mentioned elsewhere,2010-2011,2168
Sunnyside,Gauteng,All theft not mentioned elsewhere,2011-2012,1862
Sunnyside,Gauteng,All theft not mentioned elsewhere,2012-2013,1861
Sunnyside,Gauteng,All theft not mentioned elsewhere,2013-2014,2350
Sunnyside,Gauteng,All theft not mentioned elsewhere,2014-2015,1985
Sunnyside,Gauteng,All theft not mentioned elsewhere,2015-2016,1820
Sunnyside,Gauteng,All theft not mentioned elsewhere,2016-2017,1837
Seshego,Limpopo,All theft not mentioned elsewhere,2005-2006,413
Seshego,Limpopo,All theft not mentioned elsewhere,2006-2007,520
Seshego,Limpopo,All theft not mentioned elsewhere,2007-2008,312
Seshego,Limpopo,All theft not mentioned elsewhere,2008-2009,354
Seshego,Limpopo,All theft not mentioned elsewhere,2009-2010,296
Seshego,Limpopo,All theft not mentioned elsewhere,2010-2011,654
Seshego,Limpopo,All theft not mentioned elsewhere,2011-2012,1303
Seshego,Limpopo,All theft not mentioned elsewhere,2012-2013,790
Seshego,Limpopo,All theft not mentioned elsewhere,2013-2014,1022
Seshego,Limpopo,All theft not mentioned elsewhere,2014-2015,1437
Seshego,Limpopo,All theft not mentioned elsewhere,2015-2016,1391
Seshego,Limpopo,All theft not mentioned elsewhere,2016-2017,1836
Kimberley,Northern Cape,All theft not mentioned elsewhere,2005-2006,1970
Kimberley,Northern Cape,All theft not mentioned elsewhere,2006-2007,1731
Kimberley,Northern Cape,All theft not mentioned elsewhere,2007-2008,1764
Kimberley,Northern Cape,All theft not mentioned elsewhere,2008-2009,1927
Kimberley,Northern Cape,All theft not mentioned elsewhere,2009-2010,1810
Kimberley,Northern Cape,All theft not mentioned elsewhere,2010-2011,1598
Kimberley,Northern Cape,All theft not mentioned elsewhere,2011-2012,1603
Kimberley,Northern Cape,All theft not mentioned elsewhere,2012-2013,1572
Kimberley,Northern Cape,All theft not mentioned elsewhere,2013-2014,1632
Kimberley,Northern Cape,All theft not mentioned elsewhere,2014-2015,1616
Kimberley,Northern Cape,All theft not mentioned elsewhere,2015-2016,1571
Kimberley,Northern Cape,All theft not mentioned elsewhere,2016-2017,1726
Worcester,Western Cape,All theft not mentioned elsewhere,2005-2006,1975
Worcester,Western Cape,All theft not mentioned elsewhere,2006-2007,1992
Worcester,Western Cape,All theft not mentioned elsewhere,2007-2008,1801
Worcester,Western Cape,All theft not mentioned elsewhere,2008-2009,1808
Worcester,Western Cape,All theft not mentioned elsewhere,2009-2010,1741
Worcester,Western Cape,All theft not mentioned elsewhere,2010-2011,1842
Worcester,Western Cape,All theft not mentioned elsewhere,2011-2012,2315
Worcester,Western Cape,All theft not mentioned elsewhere,2012-2013,1809
Worcester,Western Cape,All theft not mentioned elsewhere,2013-2014,1882
Worcester,Western Cape,All theft not mentioned elsewhere,2014-2015,2100
