"year","station","loc_mn","dc_mn","longitude","latitude","other_theft","arson","assault_gbh","attempted_murder","attempted_sexoff","bank_robbery","burglary_nonres","burglary_res","carjacking","commercial_crime","common_assault","common_robbery","contact_sexoff","dui","drug_crime","illegal_firearms","kidnapping","malicious_damage","murder","rape","robbery_nonres","robbery_res","cash_transit_robbery","aggr_robbery","sexual_assault","sexual_offences","police_detected_sexoff","shoplifting","stock_theft","vehicle_theft","theft_from_vehicle","truck_hijacking"
"2021/2022","thornhill","kouga","sarah baartman","25.14084","-33.90226",60,3,38,2,0,0,14,43,0,7,31,3,6,4,27,0,21,25,1,5,5,0,0,11,0,5,0,0,5,1,4,0
"2022/2023","thornhill","kouga","sarah baartman","25.14084","-33.90226",89,1,42,5,1,0,27,52,0,16,36,3,6,6,34,0,21,21,4,9,4,3,0,12,1,11,0,0,7,4,4,0
"2008/2009","thomas river","amahlathi","amathole","27.25308","-32.45155",4,0,1,0,0,0,0,3,0,0,1,0,6,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,65,1,1,0
"2009/2010","thomas river","amahlathi","amathole","27.25308","-32.45155",1,0,4,0,0,0,0,0,0,0,0,0,6,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,33,0,0,0
"2010/2011","thomas river","amahlathi","amathole","27.25308","-32.45155",0,0,1,0,0,0,1,1,0,0,2,1,6,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,45,1,0,0
"2011/2012","thomas river","amahlathi","amathole","27.25308","-32.45155",3,0,0,0,0,0,0,0,0,0,1,0,4,2,5,0,1,2,0,1,0,0,0,0,0,3,0,0,53,0,0,0
"2012/2013","thomas river","amahlathi","amathole","27.25308","-32.45155",5,0,2,0,0,0,1,2,0,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,47,0,0,0
"2013/2014","thomas river","amahlathi","amathole","27.25308","-32.45155",3,0,1,0,0,0,0,2,0,0,3,0,6,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"2014/2015","thomas river","amahlathi","amathole","27.25308","-32.45155",2,0,3,0,0,0,0,0,0,0,1,0,6,2,2,0,14,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"2015/2016","thomas river","amahlathi","amathole","27.25308","-32.45155",1,0,1,0,0,0,0,0,1,0,1,0,6,1,1,0,13,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0
"2016/2017","thomas river","amahlathi","amathole","27.25308","-32.45155",1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0
"2017/2018","thomas river","amahlathi","amathole","27.25308","-32.45155",7,0,2,3,0,0,1,2,0,0,0,0,6,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,38,1,1,0
"2018/2019","thomas river","amahlathi","amathole","27.25308","-32.45155",1,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,13,1,0,1,0,0,0,1,0,1,0,0,24,0,1,0
"2019/2020","thomas river","amahlathi","amathole","27.25308","-32.45155",6,0,1,1,0,0,0,0,0,1,1,0,6,0,0,0,13,0,0,1,0,0,0,1,0,1,0,0,37,0,0,0
"2020/2021","thomas river","amahlathi","amathole","27.25308","-32.45155",2,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0
"2021/2022","thomas river","amahlathi","amathole","27.25308","-32.45155",2,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,9,0,1,0
"2022/2023","thomas river","amahlathi","amathole","27.25308","-32.45155",7,0,3,0,0,0,0,1,1,0,1,0,6,0,0,0,13,2,0,0,0,0,0,2,0,0,0,0,10,0,0,0
"2008/2009","thohoyandou","thulamela","vhembe","30.45594","-22.97234",962,59,1109,58,15,0,403,1167,1,181,1487,344,36,106,142,12,1,489,37,297,25,52,1,161,3,331,0,396,25,19,154,0
"2009/2010","thohoyandou","thulamela","vhembe","30.45594","-22.97234",717,49,869,63,9,0,415,1200,6,160,860,277,32,85,180,9,1,354,36,256,27,29,1,94,4,281,0,388,24,33,139,0
"2010/2011","thohoyandou","thulamela","vhembe","30.45594","-22.97234",668,32,700,52,21,0,327,1124,5,225,577,238,22,104,94,9,1,297,18,261,45,29,3,133,0,302,0,364,28,30,190,0
"2011/2012","thohoyandou","thulamela","vhembe","30.45594","-22.97234",698,43,791,58,11,0,357,1213,6,243,827,285,37,116,102,9,1,455,24,275,67,45,2,213,4,308,67,260,17,30,203,0
"2012/2013","thohoyandou","thulamela","vhembe","30.45594","-22.97234",516,59,577,50,7,0,415,1026,4,243,544,120,10,143,132,8,1,360,29,242,70,58,0,268,16,271,253,288,24,30,304,0
"2013/2014","thohoyandou","thulamela","vhembe","30.45594","-22.97234",553,34,492,67,7,0,358,1003,5,284,445,142,9,227,143,15,38,302,51,246,73,83,2,387,19,277,84,196,19,39,389,0
"2014/2015","thohoyandou","thulamela","vhembe","30.45594","-22.97234",583,46,536,67,1,1,385,762,7,223,528,140,8,328,196,2,3,385,55,269,82,125,0,435,25,299,11,286,27,22,343,0
"2015/2016","thohoyandou","thulamela","vhembe","30.45594","-22.97234",594,33,578,52,10,0,377,846,25,220,545,153,4,431,258,6,16,316,53,230,118,154,0,511,6,248,1,286,20,23,304,0
"2016/2017","thohoyandou","thulamela","vhembe","30.45594","-22.97234",534,29,517,63,7,0,355,640,15,325,409,111,4,345,337,13,27,319,49,183,80,154,0,477,6,198,2,257,23,31,215,0
"2017/2018","thohoyandou","thulamela","vhembe","30.45594","-22.97234",433,31,437,72,6,0,342,695,53,284,446,125,5,369,457,19,30,349,48,225,121,229,0,651,16,250,1,203,22,26,197,0
"2018/2019","thohoyandou","thulamela","vhembe","30.45594","-22.97234",378,21,442,70,6,0,273,671,27,300,399,115,6,400,296,13,8,319,51,268,96,130,2,517,23,297,14,268,29,19,220,0
"2019/2020","thohoyandou","thulamela","vhembe","30.45594","-22.97234",409,19,408,68,3,0,363,553,59,297,363,90,4,438,29,17,38,336,39,225,177,103,3,645,17,247,27,254,26,36,190,0
"2020/2021","thohoyandou","thulamela","vhembe","30.45594","-22.97234",333,14,394,66,8,0,324,356,48,263,529,98,7,264,47,35,3,349,28,206,97,118,1,496,22,237,26,183,41,18,126,0
"2021/2022","thohoyandou","thulamela","vhembe","30.45594","-22.97234",445,20,488,91,7,0,272,408,39,329,683,144,4,267,81,32,16,469,44,256,80,77,2,416,31,296,29,224,32,33,195,0
"2022/2023","thohoyandou","thulamela","vhembe","30.45594","-22.97234",1138,20,541,79,6,0,361,453,60,393,846,221,4,30,102,41,64,482,68,265,177,86,8,613,28,301,9,271,17,31,125,0
"2008/2009","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",19,1,55,2,1,0,0,26,0,0,11,1,7,0,4,0,1,7,2,7,0,0,0,1,2,11,0,0,20,0,0,0
"2009/2010","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",18,3,41,0,2,0,2,29,0,0,14,2,6,0,7,0,1,10,4,13,0,3,0,6,0,15,0,0,36,2,1,0
"2010/2011","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",14,2,59,2,1,0,5,19,0,0,8,3,7,0,10,0,1,8,5,8,1,7,0,11,1,11,0,0,44,2,4,0
"2011/2012","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",13,1,50,0,0,0,8,19,0,1,5,3,7,0,4,1,1,8,4,6,4,2,0,9,1,8,0,0,39,2,8,0
"2012/2013","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",17,3,57,2,1,0,5,17,0,0,9,3,6,1,18,2,1,16,7,8,4,0,0,8,0,9,0,0,12,1,3,0
"2013/2014","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",20,3,42,3,0,0,3,26,0,0,6,3,7,7,28,4,13,8,8,12,8,1,0,13,1,14,0,0,21,2,3,0
"2014/2015","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",14,0,40,2,2,0,5,13,0,0,2,6,7,4,9,6,13,5,6,22,5,1,0,9,0,25,0,0,34,2,1,0
"2015/2016","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",19,2,45,5,2,0,7,9,2,2,2,2,7,6,29,2,13,12,11,9,2,0,0,8,0,12,0,0,24,2,3,0
"2016/2017","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",8,0,56,5,1,0,6,17,0,3,11,4,6,17,32,2,13,11,3,8,3,1,0,6,1,10,0,0,35,1,0,0
"2017/2018","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",8,2,36,3,2,0,6,9,1,0,11,2,6,2,19,4,12,10,5,12,4,1,0,8,1,15,0,0,41,1,0,0
"2018/2019","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",10,0,35,4,0,0,7,8,0,1,5,2,6,2,15,2,13,8,9,12,3,2,0,10,3,15,0,0,16,0,1,0
"2019/2020","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",10,1,51,3,1,0,9,10,1,1,7,1,7,4,1,7,12,16,10,10,4,1,0,9,5,17,0,0,16,0,0,0
"2020/2021","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",14,1,42,1,1,0,4,7,0,1,5,0,6,1,1,6,12,8,7,8,5,3,0,10,5,14,0,0,8,1,0,0
"2021/2022","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",8,0,40,3,2,0,2,11,0,1,4,1,6,2,2,4,13,8,7,16,3,0,0,6,7,25,0,0,11,1,0,0
"2022/2023","thina falls","mhlontlo","o.r.tambo","29.02187","-31.22086",5,1,26,3,3,0,5,9,0,1,8,1,6,0,0,1,13,5,9,10,2,1,0,6,0,13,0,0,16,0,2,0
"2008/2009","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",290,4,167,2,4,0,63,146,0,18,104,14,8,29,40,3,1,65,13,20,4,0,0,18,3,31,0,5,44,7,12,0
"2009/2010","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",298,4,169,2,6,0,57,103,0,20,117,11,5,20,62,4,1,69,10,44,6,0,0,18,6,59,0,9,41,6,5,0
"2010/2011","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",294,1,239,4,8,0,79,137,0,40,118,24,7,7,38,3,1,66,16,34,13,3,0,32,5,48,0,5,75,10,10,0
"2011/2012","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",377,8,193,7,6,0,114,143,2,38,145,13,8,4,31,3,1,98,18,50,12,9,0,44,18,78,0,11,58,16,20,0
"2012/2013","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",360,2,200,8,5,0,87,153,1,41,129,22,4,5,38,5,1,82,16,41,22,25,0,71,26,74,0,8,61,12,24,0
"2013/2014","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",340,6,250,16,4,0,118,156,1,43,166,21,4,4,40,1,21,129,15,50,2,12,0,39,12,68,0,9,53,8,22,0
"2014/2015","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",418,6,218,10,2,0,83,125,1,37,202,12,4,9,41,2,14,100,13,46,5,10,0,36,9,59,1,7,65,7,16,0
"2015/2016","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",440,1,220,8,5,0,83,145,1,45,230,25,6,3,32,4,22,120,9,36,12,9,0,47,8,49,0,10,47,6,22,0
"2016/2017","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",308,6,200,5,5,0,78,156,1,20,168,12,7,8,40,3,14,90,8,30,12,8,0,41,10,46,0,10,53,6,17,0
"2017/2018","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",276,2,173,8,4,0,119,139,0,14,124,13,7,16,48,3,14,74,15,39,26,10,0,62,13,57,0,2,44,7,21,0
"2018/2019","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",307,0,137,9,4,0,84,85,3,15,138,18,5,11,41,2,13,75,8,38,13,8,1,35,10,55,0,9,54,5,13,0
"2019/2020","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",318,1,153,8,0,0,95,111,1,26,115,14,6,11,11,2,12,87,12,30,4,5,0,25,6,36,0,12,48,5,11,0
"2020/2021","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",213,1,118,5,0,0,71,79,1,29,118,14,6,7,8,3,23,66,13,29,16,11,0,50,12,41,0,5,67,2,12,0
"2021/2022","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",303,1,146,10,1,0,80,99,2,26,148,12,7,2,15,3,14,100,17,42,4,11,0,50,7,51,1,4,32,5,11,0
"2022/2023","theunissen","matjhabeng","lejweleputswa","26.71208","-28.40042",333,1,188,12,0,0,69,96,0,31,191,21,6,4,15,1,23,110,2,29,6,5,0,26,13,42,1,7,35,3,20,0
"2008/2009","thembalethu","george","garden route","22.48547","-34.00341",125,10,377,8,2,0,27,327,0,9,196,115,8,105,264,11,1,100,42,65,3,3,0,46,10,81,0,3,7,17,47,0
"2009/2010","thembalethu","george","garden route","22.48547","-34.00341",104,13,322,9,1,0,15,249,0,13,151,94,5,148,306,14,1,76,23,74,4,3,0,29,21,99,0,0,3,13,21,0
"2010/2011","thembalethu","george","garden route","22.48547","-34.00341",118,9,347,6,2,0,21,249,0,12,229,75,17,174,330,9,1,108,32,96,14,3,1,40,16,123,0,1,12,15,38,0
"2011/2012","thembalethu","george","garden route","22.48547","-34.00341",140,10,360,12,4,0,26,245,1,5,213,73,15,199,359,10,1,96,23,106,17,2,0,65,13,140,2,3,6,20,46,0
"2012/2013","thembalethu","george","garden route","22.48547","-34.00341",123,8,339,16,6,0,18,308,1,12,265,72,3,205,344,2,1,119,19,118,30,1,0,84,9,146,0,52,5,15,45,0
"2013/2014","thembalethu","george","garden route","22.48547","-34.00341",161,11,322,11,10,0,18,337,0,18,216,122,11,161,344,5,23,132,28,101,49,12,0,120,15,134,0,72,5,15,59,0
"2014/2015","thembalethu","george","garden route","22.48547","-34.00341",197,5,358,5,5,0,13,369,1,14,239,101,11,142,374,6,21,139,23,119,34,16,0,145,17,149,0,70,2,21,48,0
"2015/2016","thembalethu","george","garden route","22.48547","-34.00341",182,6,314,18,4,0,36,437,4,15,273,79,10,105,403,4,23,130,27,86,27,6,0,120,8,104,0,48,1,11,42,0
"2016/2017","thembalethu","george","garden route","22.48547","-34.00341",180,14,335,6,3,0,41,395,1,11,288,95,5,78,435,1,21,142,27,83,6,15,0,77,17,106,0,52,2,13,50,0
"2017/2018","thembalethu","george","garden route","22.48547","-34.00341",197,13,412,9,6,0,54,434,2,12,284,78,12,67,559,12,16,219,36,105,14,35,0,178,17,135,0,31,8,24,67,0
"2018/2019","thembalethu","george","garden route","22.48547","-34.00341",193,18,451,17,4,0,72,425,3,12,290,95,4,56,274,14,28,215,44,120,21,18,0,155,21,147,1,51,4,36,43,0
"2019/2020","thembalethu","george","garden route","22.48547","-34.00341",209,15,434,14,7,0,86,372,3,10,306,89,5,55,119,9,16,219,35,103,12,14,0,146,17,130,0,62,2,24,61,0
"2020/2021","thembalethu","george","garden route","22.48547","-34.00341",138,13,324,67,2,0,53,232,5,27,252,61,9,11,60,4,4,167,32,84,23,13,1,150,12,103,2,33,2,13,66,0
"2021/2022","thembalethu","george","garden route","22.48547","-34.00341",168,9,293,32,9,0,40,228,4,24,265,40,11,11,130,10,4,163,46,111,20,32,0,168,22,150,0,29,1,19,41,1
"2022/2023","thembalethu","george","garden route","22.48547","-34.00341",149,14,392,45,6,0,29,250,4,38,338,47,7,26,259,10,3,183,54,102,21,26,1,189,15,124,0,71,4,11,50,3
"2008/2009","the barrage","emfuleni","sedibeng","27.6795","-26.76453",154,4,69,4,1,0,14,125,5,7,43,19,4,14,5,4,1,61,3,10,5,5,0,28,2,15,0,1,79,33,13,0
"2009/2010","the barrage","emfuleni","sedibeng","27.6795","-26.76453",128,0,65,5,2,0,19,178,5,5,35,8,17,14,12,7,1,69,5,15,3,12,0,28,1,27,0,0,35,44,14,3
"2010/2011","the barrage","emfuleni","sedibeng","27.6795","-26.76453",188,3,70,8,0,0,21,186,1,6,40,8,4,19,13,4,1,40,5,11,1,8,0,16,4,17,0,2,29,41,24,3
"2011/2012","the barrage","emfuleni","sedibeng","27.6795","-26.76453",176,3,61,5,1,0,19,159,2,13,41,10,6,15,12,3,1,37,4,17,0,5,1,14,1,19,2,0,33,28,21,2
"2012/2013","the barrage","emfuleni","sedibeng","27.6795","-26.76453",160,0,72,0,0,0,11,117,3,6,40,5,6,42,48,4,1,36,5,9,1,4,0,11,0,9,0,0,37,24,17,0
"2013/2014","the barrage","emfuleni","sedibeng","27.6795","-26.76453",140,2,62,6,1,0,29,121,1,12,38,0,7,45,71,5,12,30,5,2,3,10,0,25,1,5,2,1,20,22,16,5
"2014/2015","the barrage","emfuleni","sedibeng","27.6795","-26.76453",141,3,67,2,1,0,12,156,2,5,35,4,6,48,136,5,13,44,6,3,4,11,0,22,1,5,4,0,31,35,26,1
"2015/2016","the barrage","emfuleni","sedibeng","27.6795","-26.76453",122,0,59,2,1,0,9,96,2,7,41,4,6,38,134,6,13,47,2,4,6,4,0,22,1,6,18,0,33,26,13,2
"2016/2017","the barrage","emfuleni","sedibeng","27.6795","-26.76453",89,1,34,0,1,0,23,124,0,5,32,3,6,42,152,2,13,26,6,11,2,10,0,20,1,13,1,0,14,44,17,1
"2017/2018","the barrage","emfuleni","sedibeng","27.6795","-26.76453",85,0,31,2,1,0,26,157,2,6,28,2,6,50,190,5,21,18,0,10,7,3,0,16,1,12,1,0,22,21,26,1
"2018/2019","the barrage","emfuleni","sedibeng","27.6795","-26.76453",89,1,22,4,1,0,16,162,3,8,22,4,7,69,123,6,13,6,5,7,1,8,0,17,1,10,36,1,14,23,17,0
"2019/2020","the barrage","emfuleni","sedibeng","27.6795","-26.76453",88,2,39,5,0,0,14,129,2,12,28,5,6,89,3,0,13,11,5,5,9,5,0,20,1,6,68,0,25,17,14,3
"2020/2021","the barrage","emfuleni","sedibeng","27.6795","-26.76453",66,1,25,1,1,0,16,82,5,17,20,4,6,52,5,4,12,8,1,6,2,9,0,35,2,9,112,0,33,17,18,15
"2021/2022","the barrage","emfuleni","sedibeng","27.6795","-26.76453",65,0,18,1,1,0,15,132,10,22,19,1,6,61,9,2,27,11,3,10,4,8,0,54,2,13,129,0,35,26,19,29
"2022/2023","the barrage","emfuleni","sedibeng","27.6795","-26.76453",82,1,25,3,0,0,14,149,7,28,20,6,7,24,8,9,30,8,1,11,5,6,0,41,0,12,204,0,32,19,14,19
"2008/2009","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",627,11,697,29,5,0,94,568,6,19,926,159,10,133,105,12,1,380,49,136,31,33,1,390,16,163,0,8,4,39,142,0
"2009/2010","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",609,11,715,25,7,1,136,560,11,18,983,103,11,146,174,20,1,316,52,157,28,58,1,423,15,187,0,60,16,24,99,0
"2010/2011","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",492,12,709,26,0,0,97,566,11,70,892,118,5,108,181,24,1,322,62,170,30,42,1,409,27,200,0,66,6,29,121,0
"2011/2012","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",490,27,656,52,6,0,133,452,13,62,929,90,8,76,141,24,1,381,76,220,51,74,0,504,30,260,0,47,10,34,198,0
"2012/2013","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",558,22,664,74,2,0,172,534,8,93,835,127,7,77,206,22,1,413,78,264,45,88,0,508,38,305,0,61,11,49,219,0
"2013/2014","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",455,15,636,73,5,0,145,515,10,73,939,130,7,66,272,33,4,340,75,282,40,87,0,516,28,316,0,88,5,44,203,0
"2014/2015","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",466,10,570,93,2,2,86,446,5,71,829,150,6,68,242,24,38,352,69,227,30,98,0,591,25,254,0,58,7,34,162,0
"2015/2016","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",416,6,549,70,0,0,125,514,8,60,860,153,7,74,258,34,42,340,76,198,32,117,0,519,26,225,0,62,2,51,174,0
"2016/2017","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",364,9,450,80,0,0,103,532,14,35,689,114,5,58,312,34,38,302,68,195,49,156,1,522,25,223,0,63,1,28,216,0
"2017/2018","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",369,9,420,58,0,0,115,432,8,64,675,96,4,57,364,58,28,281,77,155,54,114,0,434,21,178,0,53,0,34,135,0
"2018/2019","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",443,6,473,73,0,0,124,455,13,70,737,87,4,47,225,25,39,316,64,172,62,112,1,464,35,209,0,54,0,24,117,0
"2019/2020","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",405,11,457,38,0,0,116,351,16,74,757,75,7,45,191,24,8,285,71,138,58,92,2,409,27,166,0,71,1,48,99,0
"2020/2021","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",362,10,346,72,5,0,99,241,7,76,752,71,5,35,103,25,15,273,51,98,60,65,0,281,28,134,0,22,1,32,90,0
"2021/2022","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",388,9,477,93,8,0,82,310,16,90,872,61,4,49,173,29,6,327,67,141,85,63,0,334,20,171,0,18,0,40,100,0
"2022/2023","thabong","matjhabeng","lejweleputswa","26.78051","-27.97483",504,5,585,141,7,0,103,347,7,83,867,76,8,41,207,21,60,379,52,140,53,44,0,290,22,173,0,30,1,28,86,0
"2008/2009","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",393,3,126,2,6,0,58,153,3,62,191,32,5,51,50,4,1,115,10,21,5,4,0,20,9,39,0,66,7,52,29,0
"2009/2010","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",333,6,131,6,2,0,86,183,2,58,144,12,4,50,70,8,1,93,6,27,8,3,0,14,6,37,0,53,5,40,49,0
"2010/2011","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",364,5,119,3,4,0,48,168,5,44,122,25,7,52,60,6,1,82,4,29,7,2,0,19,7,41,0,40,7,20,19,1
"2011/2012","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",262,9,142,6,1,0,46,123,1,69,115,26,7,52,61,2,1,76,5,39,7,2,0,18,6,47,0,37,11,30,32,2
"2012/2013","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",246,3,135,8,1,0,37,133,0,78,117,15,6,81,81,8,1,73,5,27,7,13,0,32,2,30,0,41,10,19,36,5
"2013/2014","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",192,7,110,3,1,0,49,159,0,57,89,16,6,55,123,6,12,69,7,19,5,2,0,10,1,21,0,50,2,11,30,0
"2014/2015","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",237,6,124,9,0,0,35,226,0,61,87,28,6,57,125,1,21,56,10,23,7,16,0,30,8,31,21,43,3,25,31,1
"2015/2016","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",259,7,129,8,5,0,47,157,3,58,92,17,6,47,100,5,13,59,7,15,11,6,0,36,3,23,8,48,5,28,42,3
"2016/2017","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",257,2,124,9,1,0,51,110,0,82,71,30,7,38,144,9,13,39,13,5,12,5,0,21,0,7,11,38,4,10,34,0
"2017/2018","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",204,3,142,6,1,0,47,126,2,72,80,14,6,68,169,3,13,60,6,21,8,7,0,25,3,25,21,54,3,16,68,1
"2018/2019","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",244,0,135,11,5,0,46,128,1,85,88,23,6,80,107,5,13,44,8,14,11,3,0,25,2,21,20,48,2,9,62,1
"2019/2020","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",192,4,127,5,4,0,55,128,1,77,114,28,7,119,89,8,12,45,7,32,6,1,0,23,5,42,27,60,2,7,27,0
"2020/2021","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",172,2,113,8,1,0,55,108,1,81,107,17,6,45,78,3,12,37,8,14,3,6,0,24,5,20,24,44,3,9,27,1
"2021/2022","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",190,5,143,5,0,0,42,97,1,82,105,16,6,32,84,13,12,47,5,34,6,4,0,27,4,38,7,20,2,14,40,0
"2022/2023","thabazimbi","thabazimbi","waterberg","27.40775","-24.59703",247,3,163,6,3,0,48,123,1,120,107,17,7,7,120,6,23,79,3,32,4,2,0,36,5,41,36,33,3,16,28,0
"2008/2009","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",100,1,111,4,2,0,92,72,5,21,99,24,5,6,30,0,1,60,4,17,9,4,1,34,2,24,0,68,55,7,16,0
"2009/2010","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",111,0,125,0,2,1,67,76,1,24,95,26,8,15,49,0,1,45,6,20,7,5,1,25,1,27,0,109,66,2,19,0
"2010/2011","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",78,1,108,4,0,0,55,115,3,28,97,24,6,8,50,2,1,57,11,26,20,5,2,36,6,32,0,100,76,3,18,0
"2011/2012","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",72,4,122,4,4,0,48,65,3,59,69,22,7,4,32,3,1,53,7,23,7,3,2,26,2,30,0,75,67,3,7,0
"2012/2013","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",87,0,116,13,2,0,59,60,4,55,51,23,7,8,37,5,1,53,6,18,11,5,0,33,7,28,1,71,60,4,14,0
"2013/2014","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",73,1,123,6,2,0,69,66,1,39,65,18,6,9,48,5,21,49,7,30,9,6,0,24,2,34,0,99,34,2,12,0
"2014/2015","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",60,1,114,6,3,0,48,38,3,51,59,17,5,20,74,4,13,42,5,21,5,1,1,26,1,28,0,91,23,8,10,0
"2015/2016","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",72,0,77,4,1,0,30,41,1,38,50,16,7,22,75,3,23,29,7,17,12,3,0,25,3,22,0,77,42,2,23,0
"2016/2017","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",50,2,73,8,2,0,42,47,1,36,37,13,7,13,43,2,21,27,15,12,13,6,0,32,2,17,0,57,58,6,15,0
"2017/2018","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",54,2,71,0,1,0,43,36,2,50,32,9,6,22,39,4,12,31,7,15,5,0,0,11,0,16,0,34,49,2,11,0
"2018/2019","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",57,1,66,6,2,0,31,44,1,30,35,11,6,15,22,7,21,38,7,13,9,5,0,25,1,16,0,48,56,0,11,0
"2019/2020","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",94,2,88,2,0,0,61,52,0,26,50,9,7,18,11,0,21,23,7,10,8,0,0,14,1,12,0,51,61,3,6,0
"2020/2021","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",70,0,71,8,1,0,36,31,5,37,52,10,6,4,22,6,12,29,4,14,11,4,0,27,2,17,0,31,52,3,14,0
"2021/2022","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",61,0,101,8,3,0,26,23,1,56,46,12,4,10,21,0,13,30,8,16,11,3,0,22,2,23,0,43,54,5,14,0
"2022/2023","thaba-nchu","mangaung","mangaung","26.84379","-29.2112",70,1,106,11,2,0,34,24,2,56,98,8,6,17,36,4,21,32,7,13,10,6,0,32,3,18,1,37,47,0,19,0
"2008/2009","tembisa south","ekurhuleni","ekurhuleni","28.20888","-26.02598",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
