Station,Crime_Category,Incidents,Year
Laingsburg,Sexual assault,4,2025/2026
Laingsburg,Sexual offences,8,2025/2026
Laingsburg,Sexual offences detected as a result of police action,1,2025/2026
Laingsburg,Shoplifting,2,2025/2026
Laingsburg,Stock-theft,12,2025/2026
Laingsburg,TRIO Crime,0,2025/2026
Laingsburg,Theft of motor vehicle and motorcycle,0,2025/2026
Laingsburg,Theft out of or from motor vehicle,22,2025/2026
Laingsburg,Truck hijacking,0,2025/2026
Lambertsbaai,17 Community reported serious Crime,470,2025/2026
Lambertsbaai,Abduction,0,2025/2026
Lambertsbaai,All theft not mentioned elsewhere,102,2025/2026
Lambertsbaai,Arson,0,2025/2026
Lambertsbaai,Assault with the intent to inflict grievous bodily harm,68,2025/2026
Lambertsbaai,Attempted murder,2,2025/2026
Lambertsbaai,Attempted sexual offences,1,2025/2026
Lambertsbaai,Bank robbery,0,2025/2026
Lambertsbaai,Burglary at non-residential premises,13,2025/2026
Lambertsbaai,Burglary at residential premises,60,2025/2026
Lambertsbaai,Carjacking,0,2025/2026
Lambertsbaai,Commercial crime,39,2025/2026
Lambertsbaai,Common assault,98,2025/2026
Lambertsbaai,Common robbery,5,2025/2026
Lambertsbaai,Contact crime (Crimes against the person),190,2025/2026
Lambertsbaai,Contact sexual offences,0,2025/2026
Lambertsbaai,Contact-related Crime,42,2025/2026
Lambertsbaai,Crime detected as a result of police action,151,2025/2026
Lambertsbaai,Crimen injuria,13,2025/2026
Lambertsbaai,Culpable homicide,1,2025/2026
Lambertsbaai,Driving under the influence of alcohol or drugs,8,2025/2026
Lambertsbaai,Drug-related crime,141,2025/2026
Lambertsbaai,Illegal possession of firearms and ammunition,2,2025/2026
Lambertsbaai,Kidnapping,0,2025/2026
Lambertsbaai,Malicious damage to property,42,2025/2026
Lambertsbaai,Murder,1,2025/2026
Lambertsbaai,Neglect and ill-treatment of children,5,2025/2026
Lambertsbaai,Other serious Crime,143,2025/2026
Lambertsbaai,Property-related Crime,95,2025/2026
Lambertsbaai,Public violence,3,2025/2026
Lambertsbaai,Rape,9,2025/2026
Lambertsbaai,Robbery at non-residential premises,2,2025/2026
Lambertsbaai,Robbery at residential premises,0,2025/2026
Lambertsbaai,Robbery of cash in transit,0,2025/2026
Lambertsbaai,Robbery with aggravating circumstances,5,2025/2026
Lambertsbaai,Sexual assault,1,2025/2026
Lambertsbaai,Sexual offences,11,2025/2026
Lambertsbaai,Sexual offences detected as a result of police action,0,2025/2026
Lambertsbaai,Shoplifting,2,2025/2026
Lambertsbaai,Stock-theft,4,2025/2026
Lambertsbaai,TRIO Crime,2,2025/2026
Lambertsbaai,Theft of motor vehicle and motorcycle,0,2025/2026
Lambertsbaai,Theft out of or from motor vehicle,18,2025/2026
Lambertsbaai,Truck hijacking,0,2025/2026
Lamontville,17 Community reported serious Crime,863,2025/2026
Lamontville,Abduction,0,2025/2026
Lamontville,All theft not mentioned elsewhere,83,2025/2026
Lamontville,Arson,4,2025/2026
Lamontville,Assault with the intent to inflict grievous bodily harm,218,2025/2026
Lamontville,Attempted murder,14,2025/2026
Lamontville,Attempted sexual offences,4,2025/2026
Lamontville,Bank robbery,0,2025/2026
Lamontville,Burglary at non-residential premises,9,2025/2026
Lamontville,Burglary at residential premises,63,2025/2026
Lamontville,Carjacking,12,2025/2026
Lamontville,Commercial crime,40,2025/2026
Lamontville,Common assault,199,2025/2026
Lamontville,Common robbery,22,2025/2026
Lamontville,Contact crime (Crimes against the person),558,2025/2026
Lamontville,Contact sexual offences,1,2025/2026
Lamontville,Contact-related Crime,87,2025/2026
Lamontville,Crime detected as a result of police action,152,2025/2026
Lamontville,Crimen injuria,54,2025/2026
Lamontville,Culpable homicide,1,2025/2026
Lamontville,Driving under the influence of alcohol or drugs,28,2025/2026
Lamontville,Drug-related crime,114,2025/2026
Lamontville,Illegal possession of firearms and ammunition,10,2025/2026
Lamontville,Kidnapping,24,2025/2026
Lamontville,Malicious damage to property,83,2025/2026
Lamontville,Murder,17,2025/2026
Lamontville,Neglect and ill-treatment of children,0,2025/2026
Lamontville,Other serious Crime,123,2025/2026
Lamontville,Property-related Crime,95,2025/2026
Lamontville,Public violence,0,2025/2026
Lamontville,Rape,14,2025/2026
Lamontville,Robbery at non-residential premises,3,2025/2026
Lamontville,Robbery at residential premises,14,2025/2026
Lamontville,Robbery of cash in transit,0,2025/2026
Lamontville,Robbery with aggravating circumstances,61,2025/2026
Lamontville,Sexual assault,8,2025/2026
Lamontville,Sexual offences,27,2025/2026
Lamontville,Sexual offences detected as a result of police action,0,2025/2026
Lamontville,Shoplifting,0,2025/2026
Lamontville,Stock-theft,0,2025/2026
Lamontville,TRIO Crime,29,2025/2026
Lamontville,Theft of motor vehicle and motorcycle,1,2025/2026
Lamontville,Theft out of or from motor vehicle,22,2025/2026
Lamontville,Truck hijacking,0,2025/2026
Langa,17 Community reported serious Crime,2166,2025/2026
Langa,Abduction,1,2025/2026
Langa,All theft not mentioned elsewhere,192,2025/2026
Langa,Arson,4,2025/2026
Langa,Assault with the intent to inflict grievous bodily harm,342,2025/2026
Langa,Attempted murder,30,2025/2026
Langa,Attempted sexual offences,2,2025/2026
Langa,Bank robbery,0,2025/2026
Langa,Burglary at non-residential premises,14,2025/2026
Langa,Burglary at residential premises,185,2025/2026
Langa,Carjacking,65,2025/2026
Langa,Commercial crime,135,2025/2026
Langa,Common assault,408,2025/2026
Langa,Common robbery,108,2025/2026
Langa,Contact crime (Crimes against the person),1321,2025/2026
Langa,Contact sexual offences,1,2025/2026
Langa,Contact-related Crime,211,2025/2026
Langa,Crime detected as a result of police action,534,2025/2026
Langa,Crimen injuria,72,2025/2026
Langa,Culpable homicide,0,2025/2026
Langa,Driving under the influence of alcohol or drugs,42,2025/2026
Langa,Drug-related crime,475,2025/2026
Langa,Illegal possession of firearms and ammunition,17,2025/2026
Langa,Kidnapping,17,2025/2026
Langa,Malicious damage to property,207,2025/2026
Langa,Murder,68,2025/2026
Langa,Neglect and ill-treatment of children,1,2025/2026
Langa,Other serious Crime,353,2025/2026
Langa,Property-related Crime,281,2025/2026
Langa,Public violence,0,2025/2026
Langa,Rape,40,2025/2026
Langa,Robbery at non-residential premises,0,2025/2026
Langa,Robbery at residential premises,20,2025/2026
Langa,Robbery of cash in transit,1,2025/2026
Langa,Robbery with aggravating circumstances,315,2025/2026
Langa,Sexual assault,7,2025/2026
Langa,Sexual offences,50,2025/2026
Langa,Sexual offences detected as a result of police action,0,2025/2026
Langa,Shoplifting,26,2025/2026
Langa,Stock-theft,0,2025/2026
Langa,TRIO Crime,85,2025/2026
Langa,Theft of motor vehicle and motorcycle,28,2025/2026
Langa,Theft out of or from motor vehicle,54,2025/2026
Langa,Truck hijacking,13,2025/2026
Langebaan,17 Community reported serious Crime,748,2025/2026
Langebaan,Abduction,0,2025/2026
Langebaan,All theft not mentioned elsewhere,157,2025/2026
Langebaan,Arson,2,2025/2026
Langebaan,Assault with the intent to inflict grievous bodily harm,48,2025/2026
Langebaan,Attempted murder,5,2025/2026
Langebaan,Attempted sexual offences,0,2025/2026
Langebaan,Bank robbery,0,2025/2026
Langebaan,Burglary at non-residential premises,6,2025/2026
Langebaan,Burglary at residential premises,84,2025/2026
Langebaan,Carjacking,0,2025/2026
Langebaan,Commercial crime,225,2025/2026
Langebaan,Common assault,104,2025/2026
Langebaan,Common robbery,4,2025/2026
Langebaan,Contact crime (Crimes against the person),181,2025/2026
Langebaan,Contact sexual offences,2,2025/2026
Langebaan,Contact-related Crime,50,2025/2026
Langebaan,Crime detected as a result of police action,198,2025/2026
Langebaan,Crimen injuria,8,2025/2026
Langebaan,Culpable homicide,3,2025/2026
Langebaan,Driving under the influence of alcohol or drugs,36,2025/2026
Langebaan,Drug-related crime,162,2025/2026
Langebaan,Illegal possession of firearms and ammunition,0,2025/2026
Langebaan,Kidnapping,2,2025/2026
Langebaan,Malicious damage to property,48,2025/2026
Langebaan,Murder,2,2025/2026
Langebaan,Neglect and ill-treatment of children,1,2025/2026
Langebaan,Other serious Crime,398,2025/2026
Langebaan,Property-related Crime,119,2025/2026
Langebaan,Public violence,0,2025/2026
Langebaan,Rape,2,2025/2026
Langebaan,Robbery at non-residential premises,0,2025/2026
Langebaan,Robbery at residential premises,0,2025/2026
Langebaan,Robbery of cash in transit,0,2025/2026
Langebaan,Robbery with aggravating circumstances,9,2025/2026
Langebaan,Sexual assault,5,2025/2026
Langebaan,Sexual offences,9,2025/2026
Langebaan,Sexual offences detected as a result of police action,0,2025/2026
Langebaan,Shoplifting,16,2025/2026
Langebaan,Stock-theft,1,2025/2026
Langebaan,TRIO Crime,0,2025/2026
Langebaan,Theft of motor vehicle and motorcycle,4,2025/2026
Langebaan,Theft out of or from motor vehicle,24,2025/2026
Langebaan,Truck hijacking,0,2025/2026
Langlaagte,17 Community reported serious Crime,1432,2025/2026
Langlaagte,Abduction,0,2025/2026
Langlaagte,All theft not mentioned elsewhere,150,2025/2026
Langlaagte,Arson,4,2025/2026
Langlaagte,Assault with the intent to inflict grievous bodily harm,196,2025/2026
Langlaagte,Attempted murder,68,2025/2026
Langlaagte,Attempted sexual offences,0,2025/2026
Langlaagte,Bank robbery,0,2025/2026
Langlaagte,Burglary at non-residential premises,49,2025/2026
Langlaagte,Burglary at residential premises,75,2025/2026
Langlaagte,Carjacking,26,2025/2026
Langlaagte,Commercial crime,138,2025/2026
Langlaagte,Common assault,185,2025/2026
Langlaagte,Common robbery,49,2025/2026
Langlaagte,Contact crime (Crimes against the person),812,2025/2026
Langlaagte,Contact sexual offences,1,2025/2026
Langlaagte,Contact-related Crime,108,2025/2026
Langlaagte,Crime detected as a result of police action,190,2025/2026
Langlaagte,Crimen injuria,5,2025/2026
Langlaagte,Culpable homicide,7,2025/2026
Langlaagte,Driving under the influence of alcohol or drugs,35,2025/2026
Langlaagte,Drug-related crime,135,2025/2026
Langlaagte,Illegal possession of firearms and ammunition,19,2025/2026
Langlaagte,Kidnapping,31,2025/2026
Langlaagte,Malicious damage to property,104,2025/2026
Langlaagte,Murder,53,2025/2026
Langlaagte,Neglect and ill-treatment of children,3,2025/2026
Langlaagte,Other serious Crime,289,2025/2026
Langlaagte,Property-related Crime,223,2025/2026
Langlaagte,Public violence,0,2025/2026
Langlaagte,Rape,20,2025/2026
Langlaagte,Robbery at non-residential premises,41,2025/2026
Langlaagte,Robbery at residential premises,11,2025/2026
Langlaagte,Robbery of cash in transit,0,2025/2026
Langlaagte,Robbery with aggravating circumstances,236,2025/2026
Langlaagte,Sexual assault,4,2025/2026
Langlaagte,Sexual offences,25,2025/2026
Langlaagte,Sexual offences detected as a result of police action,1,2025/2026
Langlaagte,Shoplifting,1,2025/2026
Langlaagte,Stock-theft,1,2025/2026
Langlaagte,TRIO Crime,78,2025/2026
Langlaagte,Theft of motor vehicle and motorcycle,41,2025/2026
Langlaagte,Theft out of or from motor vehicle,57,2025/2026
Langlaagte,Truck hijacking,2,2025/2026
Lansdowne,17 Community reported serious Crime,1469,2025/2026
Lansdowne,Abduction,0,2025/2026
Lansdowne,All theft not mentioned elsewhere,341,2025/2026
Lansdowne,Arson,1,2025/2026
Lansdowne,Assault with the intent to inflict grievous bodily harm,37,2025/2026
Lansdowne,Attempted murder,17,2025/2026
Lansdowne,Attempted sexual offences,2,2025/2026
Lansdowne,Bank robbery,0,2025/2026
Lansdowne,Burglary at non-residential premises,25,2025/2026
Lansdowne,Burglary at residential premises,88,2025/2026
Lansdowne,Carjacking,20,2025/2026
Lansdowne,Commercial crime,350,2025/2026
Lansdowne,Common assault,128,2025/2026
Lansdowne,Common robbery,30,2025/2026
Lansdowne,Contact crime (Crimes against the person),359,2025/2026
Lansdowne,Contact sexual offences,2,2025/2026
Lansdowne,Contact-related Crime,132,2025/2026
Lansdowne,Crime detected as a result of police action,246,2025/2026
Lansdowne,Crimen injuria,24,2025/2026
Lansdowne,Culpable homicide,6,2025/2026
Lansdowne,Driving under the influence of alcohol or drugs,35,2025/2026
Lansdowne,Drug-related crime,204,2025/2026
Lansdowne,Illegal possession of firearms and ammunition,7,2025/2026
Lansdowne,Kidnapping,4,2025/2026
Lansdowne,Malicious damage to property,131,2025/2026
Lansdowne,Murder,12,2025/2026
Lansdowne,Neglect and ill-treatment of children,0,2025/2026
Lansdowne,Other serious Crime,702,2025/2026
Lansdowne,Property-related Crime,276,2025/2026
Lansdowne,Public violence,0,2025/2026
Lansdowne,Rape,9,2025/2026
Lansdowne,Robbery at non-residential premises,9,2025/2026
Lansdowne,Robbery at residential premises,9,2025/2026
Lansdowne,Robbery of cash in transit,0,2025/2026
Lansdowne,Robbery with aggravating circumstances,114,2025/2026
Lansdowne,Sexual assault,8,2025/2026
Lansdowne,Sexual offences,21,2025/2026
Lansdowne,Sexual offences detected as a result of police action,0,2025/2026
Lansdowne,Shoplifting,11,2025/2026
Lansdowne,Stock-theft,0,2025/2026
Lansdowne,TRIO Crime,38,2025/2026
Lansdowne,Theft of motor vehicle and motorcycle,36,2025/2026
Lansdowne,Theft out of or from motor vehicle,127,2025/2026
Lansdowne,Truck hijacking,0,2025/2026
Laudium,17 Community reported serious Crime,589,2025/2026
Laudium,Abduction,0,2025/2026
Laudium,All theft not mentioned elsewhere,75,2025/2026
Laudium,Arson,1,2025/2026
Laudium,Assault with the intent to inflict grievous bodily harm,65,2025/2026
Laudium,Attempted murder,10,2025/2026
Laudium,Attempted sexual offences,0,2025/2026
Laudium,Bank robbery,0,2025/2026
Laudium,Burglary at non-residential premises,5,2025/2026
Laudium,Burglary at residential premises,45,2025/2026
Laudium,Carjacking,32,2025/2026
Laudium,Commercial crime,84,2025/2026
Laudium,Common assault,75,2025/2026
Laudium,Common robbery,11,2025/2026
Laudium,Contact crime (Crimes against the person),270,2025/2026
Laudium,Contact sexual offences,0,2025/2026
Laudium,Contact-related Crime,37,2025/2026
Laudium,Crime detected as a result of police action,171,2025/2026
Laudium,Crimen injuria,4,2025/2026
Laudium,Culpable homicide,3,2025/2026
Laudium,Driving under the influence of alcohol or drugs,82,2025/2026
Laudium,Drug-related crime,86,2025/2026
Laudium,Illegal possession of firearms and ammunition,3,2025/2026
Laudium,Kidnapping,11,2025/2026
Laudium,Malicious damage to property,36,2025/2026
Laudium,Murder,13,2025/2026
Laudium,Neglect and ill-treatment of children,0,2025/2026
Laudium,Other serious Crime,161,2025/2026
Laudium,Property-related Crime,121,2025/2026
Laudium,Public violence,0,2025/2026
Laudium,Rape,19,2025/2026
Laudium,Robbery at non-residential premises,2,2025/2026
Laudium,Robbery at residential premises,12,2025/2026
Laudium,Robbery of cash in transit,0,2025/2026
Laudium,Robbery with aggravating circumstances,73,2025/2026
Laudium,Sexual assault,4,2025/2026
Laudium,Sexual offences,23,2025/2026
Laudium,Sexual offences detected as a result of police action,0,2025/2026
Laudium,Shoplifting,2,2025/2026
Laudium,Stock-theft,0,2025/2026
Laudium,TRIO Crime,46,2025/2026
Laudium,Theft of motor vehicle and motorcycle,48,2025/2026
Laudium,Theft out of or from motor vehicle,23,2025/2026
Laudium,Truck hijacking,0,2025/2026
Leboeng,17 Community reported serious Crime,146,2025/2026
Leboeng,Abduction,0,2025/2026
Leboeng,All theft not mentioned elsewhere,19,2025/2026
Leboeng,Arson,1,2025/2026
Leboeng,Assault with the intent to inflict grievous bodily harm,19,2025/2026
Leboeng,Attempted murder,2,2025/2026
Leboeng,Attempted sexual offences,1,2025/2026
Leboeng,Bank robbery,0,2025/2026
Leboeng,Burglary at non-residential premises,12,2025/2026
Leboeng,Burglary at residential premises,9,2025/2026
Leboeng,Carjacking,0,2025/2026
Leboeng,Commercial crime,9,2025/2026
Leboeng,Common assault,23,2025/2026
Leboeng,Common robbery,5,2025/2026
Leboeng,Contact crime (Crimes against the person),70,2025/2026
Leboeng,Contact sexual offences,0,2025/2026
Leboeng,Contact-related Crime,22,2025/2026
Leboeng,Crime detected as a result of police action,10,2025/2026
Leboeng,Crimen injuria,3,2025/2026
Leboeng,Culpable homicide,3,2025/2026
Leboeng,Driving under the influence of alcohol or drugs,4,2025/2026
Leboeng,Drug-related crime,3,2025/2026
Leboeng,Illegal possession of firearms and ammunition,3,2025/2026
Leboeng,Kidnapping,1,2025/2026
Leboeng,Malicious damage to property,21,2025/2026
Leboeng,Murder,2,2025/2026
Leboeng,Neglect and ill-treatment of children,0,2025/2026
Leboeng,Other serious Crime,29,2025/2026
Leboeng,Property-related Crime,25,2025/2026
Leboeng,Public violence,0,2025/2026
Leboeng,Rape,13,2025/2026
Leboeng,Robbery at non-residential premises,1,2025/2026
Leboeng,Robbery at residential premises,1,2025/2026
Leboeng,Robbery of cash in transit,0,2025/2026
Leboeng,Robbery with aggravating circumstances,4,2025/2026
Leboeng,Sexual assault,1,2025/2026
Leboeng,Sexual offences,15,2025/2026
Leboeng,Sexual offences detected as a result of police action,0,2025/2026
Leboeng,Shoplifting,1,2025/2026
Leboeng,Stock-theft,3,2025/2026
Leboeng,TRIO Crime,2,2025/2026
Leboeng,Theft of motor vehicle and motorcycle,0,2025/2026
Leboeng,Theft out of or from motor vehicle,1,2025/2026
Leboeng,Truck hijacking,0,2025/2026
Lebowakgomo,17 Community reported serious Crime,2684,2025/2026
Lebowakgomo,Abduction,0,2025/2026
Lebowakgomo,All theft not mentioned elsewhere,532,2025/2026
Lebowakgomo,Arson,2,2025/2026
Lebowakgomo,Assault with the intent to inflict grievous bodily harm,274,2025/2026
Lebowakgomo,Attempted murder,30,2025/2026
Lebowakgomo,Attempted sexual offences,3,2025/2026
Lebowakgomo,Bank robbery,0,2025/2026
Lebowakgomo,Burglary at non-residential premises,121,2025/2026
Lebowakgomo,Burglary at residential premises,222,2025/2026
Lebowakgomo,Carjacking,11,2025/2026
Lebowakgomo,Commercial crime,301,2025/2026
Lebowakgomo,Common assault,256,2025/2026
Lebowakgomo,Common robbery,86,2025/2026
Lebowakgomo,Contact crime (Crimes against the person),977,2025/2026
Lebowakgomo,Contact sexual offences,2,2025/2026
Lebowakgomo,Contact-related Crime,264,2025/2026
Lebowakgomo,Crime detected as a result of police action,625,2025/2026
Lebowakgomo,Crimen injuria,36,2025/2026
Lebowakgomo,Culpable homicide,37,2025/2026
Lebowakgomo,Driving under the influence of alcohol or drugs,114,2025/2026
Lebowakgomo,Drug-related crime,396,2025/2026
Lebowakgomo,Illegal possession of firearms and ammunition,20,2025/2026
Lebowakgomo,Kidnapping,27,2025/2026
Lebowakgomo,Malicious damage to property,262,2025/2026
Lebowakgomo,Murder,24,2025/2026
Lebowakgomo,Neglect and ill-treatment of children,1,2025/2026
Lebowakgomo,Other serious Crime,899,2025/2026
Lebowakgomo,Property-related Crime,544,2025/2026
Lebowakgomo,Public violence,0,2025/2026
Lebowakgomo,Rape,89,2025/2026
Lebowakgomo,Robbery at non-residential premises,45,2025/2026
Lebowakgomo,Robbery at residential premises,24,2025/2026
Lebowakgomo,Robbery of cash in transit,0,2025/2026
Lebowakgomo,Robbery with aggravating circumstances,198,2025/2026
Lebowakgomo,Sexual assault,15,2025/2026
Lebowakgomo,Sexual offences,109,2025/2026
Lebowakgomo,Sexual offences detected as a result of police action,95,2025/2026
Lebowakgomo,Shoplifting,66,2025/2026
Lebowakgomo,Stock-theft,56,2025/2026
Lebowakgomo,TRIO Crime,80,2025/2026
Lebowakgomo,Theft of motor vehicle and motorcycle,13,2025/2026
Lebowakgomo,Theft out of or from motor vehicle,132,2025/2026
Lebowakgomo,Truck hijacking,4,2025/2026
Leeu Gamka,17 Community reported serious Crime,383,2025/2026
Leeu Gamka,Abduction,0,2025/2026
Leeu Gamka,All theft not mentioned elsewhere,70,2025/2026
Leeu Gamka,Arson,0,2025/2026
Leeu Gamka,Assault with the intent to inflict grievous bodily harm,72,2025/2026
Leeu Gamka,Attempted murder,2,2025/2026
Leeu Gamka,Attempted sexual offences,0,2025/2026
Leeu Gamka,Bank robbery,0,2025/2026
Leeu Gamka,Burglary at non-residential premises,10,2025/2026
Leeu Gamka,Burglary at residential premises,56,2025/2026
Leeu Gamka,Carjacking,0,2025/2026
Leeu Gamka,Commercial crime,18,2025/2026
Leeu Gamka,Common assault,87,2025/2026
Leeu Gamka,Common robbery,4,2025/2026
Leeu Gamka,Contact crime (Crimes against the person),168,2025/2026
Leeu Gamka,Contact sexual offences,0,2025/2026
Leeu Gamka,Contact-related Crime,24,2025/2026
Leeu Gamka,Crime detected as a result of police action,61,2025/2026
Leeu Gamka,Crimen injuria,3,2025/2026
Leeu Gamka,Culpable homicide,6,2025/2026
Leeu Gamka,Driving under the influence of alcohol or drugs,12,2025/2026
Leeu Gamka,Drug-related crime,49,2025/2026
Leeu Gamka,Illegal possession of firearms and ammunition,0,2025/2026
Leeu Gamka,Kidnapping,0,2025/2026
Leeu Gamka,Malicious damage to property,24,2025/2026
Leeu Gamka,Murder,1,2025/2026
Leeu Gamka,Neglect and ill-treatment of children,0,2025/2026
Leeu Gamka,Other serious Crime,89,2025/2026
Leeu Gamka,Property-related Crime,102,2025/2026
Leeu Gamka,Public violence,0,2025/2026
Leeu Gamka,Rape,2,2025/2026
Leeu Gamka,Robbery at non-residential premises,0,2025/2026
Leeu Gamka,Robbery at residential premises,0,2025/2026
Leeu Gamka,Robbery of cash in transit,0,2025/2026
Leeu Gamka,Robbery with aggravating circumstances,0,2025/2026
Leeu Gamka,Sexual assault,0,2025/2026
Leeu Gamka,Sexual offences,2,2025/2026
Leeu Gamka,Sexual offences detected as a result of police action,0,2025/2026
Leeu Gamka,Shoplifting,1,2025/2026
Leeu Gamka,Stock-theft,19,2025/2026
Leeu Gamka,TRIO Crime,0,2025/2026
Leeu Gamka,Theft of motor vehicle and motorcycle,0,2025/2026
Leeu Gamka,Theft out of or from motor vehicle,17,2025/2026
Leeu Gamka,Truck hijacking,0,2025/2026
Leeudoringstad,17 Community reported serious Crime,638,2025/2026
Leeudoringstad,Abduction,0,2025/2026
Leeudoringstad,All theft not mentioned elsewhere,82,2025/2026
Leeudoringstad,Arson,0,2025/2026
Leeudoringstad,Assault with the intent to inflict grievous bodily harm,162,2025/2026
Leeudoringstad,Attempted murder,19,2025/2026
Leeudoringstad,Attempted sexual offences,1,2025/2026
Leeudoringstad,Bank robbery,0,2025/2026
Leeudoringstad,Burglary at non-residential premises,31,2025/2026
Leeudoringstad,Burglary at residential premises,77,2025/2026
Leeudoringstad,Carjacking,0,2025/2026
Leeudoringstad,Commercial crime,31,2025/2026
Leeudoringstad,Common assault,77,2025/2026
Leeudoringstad,Common robbery,9,2025/2026
Leeudoringstad,Contact crime (Crimes against the person),327,2025/2026
Leeudoringstad,Contact sexual offences,1,2025/2026
Leeudoringstad,Contact-related Crime,50,2025/2026
Leeudoringstad,Crime detected as a result of police action,24,2025/2026
Leeudoringstad,Crimen injuria,65,2025/2026
Leeudoringstad,Culpable homicide,3,2025/2026
Leeudoringstad,Driving under the influence of alcohol or drugs,2,2025/2026
Leeudoringstad,Drug-related crime,17,2025/2026
Leeudoringstad,Illegal possession of firearms and ammunition,5,2025/2026
Leeudoringstad,Kidnapping,7,2025/2026
Leeudoringstad,Malicious damage to property,50,2025/2026
Leeudoringstad,Murder,3,2025/2026
Leeudoringstad,Neglect and ill-treatment of children,2,2025/2026
Leeudoringstad,Other serious Crime,120,2025/2026
Leeudoringstad,Property-related Crime,141,2025/2026
Leeudoringstad,Public violence,1,2025/2026
Leeudoringstad,Rape,26,2025/2026
Leeudoringstad,Robbery at non-residential premises,3,2025/2026
Leeudoringstad,Robbery at residential premises,2,2025/2026
Leeudoringstad,Robbery of cash in transit,0,2025/2026
Leeudoringstad,Robbery with aggravating circumstances,24,2025/2026
Leeudoringstad,Sexual assault,5,2025/2026
Leeudoringstad,Sexual offences,33,2025/2026
Leeudoringstad,Sexual offences detected as a result of police action,0,2025/2026
Leeudoringstad,Shoplifting,7,2025/2026
Leeudoringstad,Stock-theft,19,2025/2026
Leeudoringstad,TRIO Crime,5,2025/2026
Leeudoringstad,Theft of motor vehicle and motorcycle,1,2025/2026
Leeudoringstad,Theft out of or from motor vehicle,13,2025/2026
Leeudoringstad,Truck hijacking,0,2025/2026
Lehurutshe,17 Community reported serious Crime,1350,2025/2026
Lehurutshe,Abduction,0,2025/2026
Lehurutshe,All theft not mentioned elsewhere,306,2025/2026
Lehurutshe,Arson,2,2025/2026
Lehurutshe,Assault with the intent to inflict grievous bodily harm,359,2025/2026
Lehurutshe,Attempted murder,13,2025/2026
Lehurutshe,Attempted sexual offences,2,2025/2026
Lehurutshe,Bank robbery,0,2025/2026
Lehurutshe,Burglary at non-residential premises,64,2025/2026
Lehurutshe,Burglary at residential premises,162,2025/2026
Lehurutshe,Carjacking,0,2025/2026
Lehurutshe,Commercial crime,15,2025/2026
Lehurutshe,Common assault,112,2025/2026
Lehurutshe,Common robbery,29,2025/2026
Lehurutshe,Contact crime (Crimes against the person),621,2025/2026
Lehurutshe,Contact sexual offences,0,2025/2026
Lehurutshe,Contact-related Crime,86,2025/2026
Lehurutshe,Crime detected as a result of police action,23,2025/2026
Lehurutshe,Crimen injuria,24,2025/2026
Lehurutshe,Culpable homicide,8,2025/2026
Lehurutshe,Driving under the influence of alcohol or drugs,9,2025/2026
Lehurutshe,Drug-related crime,14,2025/2026
Lehurutshe,Illegal possession of firearms and ammunition,0,2025/2026
Lehurutshe,Kidnapping,8,2025/2026
Lehurutshe,Malicious damage to property,84,2025/2026
Lehurutshe,Murder,14,2025/2026
Lehurutshe,Neglect and ill-treatment of children,0,2025/2026
Lehurutshe,Other serious Crime,336,2025/2026
Lehurutshe,Property-related Crime,307,2025/2026
Lehurutshe,Public violence,2,2025/2026
Lehurutshe,Rape,47,2025/2026
Lehurutshe,Robbery at non-residential premises,9,2025/2026
Lehurutshe,Robbery at residential premises,10,2025/2026
Lehurutshe,Robbery of cash in transit,0,2025/2026
Lehurutshe,Robbery with aggravating circumstances,42,2025/2026
Lehurutshe,Sexual assault,3,2025/2026
Lehurutshe,Sexual offences,52,2025/2026
Lehurutshe,Sexual offences detected as a result of police action,0,2025/2026
Lehurutshe,Shoplifting,15,2025/2026
Lehurutshe,Stock-theft,66,2025/2026
Lehurutshe,TRIO Crime,19,2025/2026
Lehurutshe,Theft of motor vehicle and motorcycle,3,2025/2026
Lehurutshe,Theft out of or from motor vehicle,12,2025/2026
Lehurutshe,Truck hijacking,1,2025/2026
Lenasia,17 Community reported serious Crime,3649,2025/2026
Lenasia,Abduction,0,2025/2026
Lenasia,All theft not mentioned elsewhere,358,2025/2026
Lenasia,Arson,16,2025/2026
Lenasia,Assault with the intent to inflict grievous bodily harm,444,2025/2026
Lenasia,Attempted murder,114,2025/2026
Lenasia,Attempted sexual offences,9,2025/2026
Lenasia,Bank robbery,0,2025/2026
Lenasia,Burglary at non-residential premises,56,2025/2026
Lenasia,Burglary at residential premises,168,2025/2026
Lenasia,Carjacking,190,2025/2026
Lenasia,Commercial crime,394,2025/2026
Lenasia,Common assault,437,2025/2026
Lenasia,Common robbery,150,2025/2026
Lenasia,Contact crime (Crimes against the person),2004,2025/2026
Lenasia,Contact sexual offences,0,2025/2026
Lenasia,Contact-related Crime,318,2025/2026
Lenasia,Crime detected as a result of police action,719,2025/2026
Lenasia,Crimen injuria,8,2025/2026
Lenasia,Culpable homicide,27,2025/2026
Lenasia,Driving under the influence of alcohol or drugs,217,2025/2026
Lenasia,Drug-related crime,379,2025/2026
Lenasia,Illegal possession of firearms and ammunition,68,2025/2026
Lenasia,Kidnapping,156,2025/2026
Lenasia,Malicious damage to property,302,2025/2026
Lenasia,Murder,95,2025/2026
Lenasia,Neglect and ill-treatment of children,3,2025/2026
Lenasia,Other serious Crime,887,2025/2026
Lenasia,Property-related Crime,440,2025/2026
Lenasia,Public violence,0,2025/2026
Lenasia,Rape,70,2025/2026
