Station,Crime_Category,Incidents,Year
Adelaide,17 Community reported serious Crime,416,2025/2026
Adelaide,Abduction,0,2025/2026
Adelaide,All theft not mentioned elsewhere,47,2025/2026
Adelaide,Arson,2,2025/2026
Adelaide,Assault with the intent to inflict grievous bodily harm,90,2025/2026
Adelaide,Attempted murder,8,2025/2026
Adelaide,Attempted sexual offences,1,2025/2026
Adelaide,Bank robbery,0,2025/2026
Adelaide,Burglary at non-residential premises,12,2025/2026
Adelaide,Burglary at residential premises,63,2025/2026
Adelaide,Carjacking,0,2025/2026
Adelaide,Commercial crime,28,2025/2026
Adelaide,Common assault,52,2025/2026
Adelaide,Common robbery,7,2025/2026
Adelaide,Contact crime (Crimes against the person),194,2025/2026
Adelaide,Contact sexual offences,1,2025/2026
Adelaide,Contact-related Crime,23,2025/2026
Adelaide,Crime detected as a result of police action,57,2025/2026
Adelaide,Crimen injuria,12,2025/2026
Adelaide,Culpable homicide,3,2025/2026
Adelaide,Driving under the influence of alcohol or drugs,42,2025/2026
Adelaide,Drug-related crime,13,2025/2026
Adelaide,Illegal possession of firearms and ammunition,2,2025/2026
Adelaide,Kidnapping,1,2025/2026
Adelaide,Malicious damage to property,21,2025/2026
Adelaide,Murder,5,2025/2026
Adelaide,Neglect and ill-treatment of children,0,2025/2026
Adelaide,Other serious Crime,79,2025/2026
Adelaide,Property-related Crime,120,2025/2026
Adelaide,Public violence,1,2025/2026
Adelaide,Rape,10,2025/2026
Adelaide,Robbery at non-residential premises,0,2025/2026
Adelaide,Robbery at residential premises,1,2025/2026
Adelaide,Robbery of cash in transit,0,2025/2026
Adelaide,Robbery with aggravating circumstances,13,2025/2026
Adelaide,Sexual assault,7,2025/2026
Adelaide,Sexual offences,19,2025/2026
Adelaide,Sexual offences detected as a result of police action,0,2025/2026
Adelaide,Shoplifting,4,2025/2026
Adelaide,Stock-theft,38,2025/2026
Adelaide,TRIO Crime,1,2025/2026
Adelaide,Theft of motor vehicle and motorcycle,2,2025/2026
Adelaide,Theft out of or from motor vehicle,5,2025/2026
Adelaide,Truck hijacking,0,2025/2026
Afsondering,17 Community reported serious Crime,126,2025/2026
Afsondering,Abduction,0,2025/2026
Afsondering,All theft not mentioned elsewhere,3,2025/2026
Afsondering,Arson,0,2025/2026
Afsondering,Assault with the intent to inflict grievous bodily harm,49,2025/2026
Afsondering,Attempted murder,4,2025/2026
Afsondering,Attempted sexual offences,2,2025/2026
Afsondering,Bank robbery,0,2025/2026
Afsondering,Burglary at non-residential premises,8,2025/2026
Afsondering,Burglary at residential premises,3,2025/2026
Afsondering,Carjacking,0,2025/2026
Afsondering,Commercial crime,2,2025/2026
Afsondering,Common assault,10,2025/2026
Afsondering,Common robbery,0,2025/2026
Afsondering,Contact crime (Crimes against the person),91,2025/2026
Afsondering,Contact sexual offences,0,2025/2026
Afsondering,Contact-related Crime,1,2025/2026
Afsondering,Crime detected as a result of police action,3,2025/2026
Afsondering,Crimen injuria,8,2025/2026
Afsondering,Culpable homicide,2,2025/2026
Afsondering,Driving under the influence of alcohol or drugs,0,2025/2026
Afsondering,Drug-related crime,0,2025/2026
Afsondering,Illegal possession of firearms and ammunition,3,2025/2026
Afsondering,Kidnapping,0,2025/2026
Afsondering,Malicious damage to property,1,2025/2026
Afsondering,Murder,8,2025/2026
Afsondering,Neglect and ill-treatment of children,0,2025/2026
Afsondering,Other serious Crime,5,2025/2026
Afsondering,Property-related Crime,29,2025/2026
Afsondering,Public violence,0,2025/2026
Afsondering,Rape,15,2025/2026
Afsondering,Robbery at non-residential premises,0,2025/2026
Afsondering,Robbery at residential premises,0,2025/2026
Afsondering,Robbery of cash in transit,0,2025/2026
Afsondering,Robbery with aggravating circumstances,0,2025/2026
Afsondering,Sexual assault,3,2025/2026
Afsondering,Sexual offences,20,2025/2026
Afsondering,Sexual offences detected as a result of police action,0,2025/2026
Afsondering,Shoplifting,0,2025/2026
Afsondering,Stock-theft,17,2025/2026
Afsondering,TRIO Crime,0,2025/2026
Afsondering,Theft of motor vehicle and motorcycle,0,2025/2026
Afsondering,Theft out of or from motor vehicle,1,2025/2026
Afsondering,Truck hijacking,0,2025/2026
Aggeneys,17 Community reported serious Crime,37,2025/2026
Aggeneys,Abduction,0,2025/2026
Aggeneys,All theft not mentioned elsewhere,8,2025/2026
Aggeneys,Arson,0,2025/2026
Aggeneys,Assault with the intent to inflict grievous bodily harm,3,2025/2026
Aggeneys,Attempted murder,2,2025/2026
Aggeneys,Attempted sexual offences,0,2025/2026
Aggeneys,Bank robbery,0,2025/2026
Aggeneys,Burglary at non-residential premises,0,2025/2026
Aggeneys,Burglary at residential premises,0,2025/2026
Aggeneys,Carjacking,0,2025/2026
Aggeneys,Commercial crime,5,2025/2026
Aggeneys,Common assault,8,2025/2026
Aggeneys,Common robbery,0,2025/2026
Aggeneys,Contact crime (Crimes against the person),18,2025/2026
Aggeneys,Contact sexual offences,0,2025/2026
Aggeneys,Contact-related Crime,3,2025/2026
Aggeneys,Crime detected as a result of police action,8,2025/2026
Aggeneys,Crimen injuria,0,2025/2026
Aggeneys,Culpable homicide,1,2025/2026
Aggeneys,Driving under the influence of alcohol or drugs,8,2025/2026
Aggeneys,Drug-related crime,0,2025/2026
